Signature: 1/1, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,0990;95;19;0;1;0;1;0;0
0,1000;96;1;1;96;64;0,0990;95;19;0;1;0;1;0;0
0,2000;192;1;1;192;64;0,0990;95;19;0;0;0;0;0;0
0,3000;288;1;1;288;64;0,0990;95;19;0;0;0;0;0;0
0,4000;384;1;1;384;64;0,0990;95;19;0;0;0;0;0;0
0,5000;480;2;1;0;64;0,2490;239;48;1;0;1;0;0;0
0,7500;720;2;1;240;64;0,1240;119;24;0;0;0;0;0;0
0,8750;840;2;1;360;64;0,1240;119;24;0;0;0;0;0;0
1,0000;960;3;1;0;64;0,1240;119;24;0;0;0;0;0;0
1,1250;1080;3;1;120;64;0,1240;119;24;0;0;0;0;0;0
1,2500;1200;3;1;240;60;0,2490;239;48;1;1;1;0;1;0
1,5000;1440;4;1;0;59;0,0990;95;19;0;0;0;0;0;0
1,6000;1536;4;1;96;59;0,0990;95;19;0;0;0;0;0;0
1,7000;1632;4;1;192;59;0,0990;95;19;0;0;0;0;0;0
1,8000;1728;4;1;288;59;0,0990;95;19;1;1;1;1;0;0
2,0000;1920;5;1;0;59;0,0990;95;19;0;0;0;0;0;0
2,1000;2016;5;1;96;59;0,0990;95;19;0;0;0;0;0;0
2,2000;2112;5;1;192;59;0,0990;95;19;0;0;0;0;0;0
2,3000;2208;5;1;288;59;0,0990;95;19;0;0;0;0;0;0
2,4000;2304;5;1;384;59;0,0990;95;19;0;0;0;0;0;0
2,5000;2400;6;1;0;59;0,2490;239;48;1;1;1;0;1;0
2,7500;2640;6;1;240;59;0,1240;119;24;0;0;0;0;0;0
2,8750;2760;6;1;360;59;0,1240;119;24;1;0;0;0;0;0
3,0000;2880;7;1;0;60;0,1240;119;24;0;0;0;0;0;0
3,1250;3000;7;1;120;60;0,1240;119;24;0;0;0;0;0;0
3,2500;3120;7;1;240;59;0,2490;239;48;1;1;1;0;0;0
3,5000;3360;8;1;0;57;0,0990;95;19;0;0;0;0;0;0
3,6000;3456;8;1;96;57;0,0990;95;19;0;0;0;0;0;0
3,7000;3552;8;1;192;57;0,0990;95;19;0;0;0;0;0;0
3,8000;3648;8;1;288;57;0,0990;95;19;1;0;1;1;1;0
4,0000;3840;9;1;0;57;0,0990;95;19;0;0;0;0;0;0
4,1000;3936;9;1;96;57;0,0990;95;19;0;0;0;0;0;0
4,2000;4032;9;1;192;57;0,0990;95;19;0;0;0;0;0;0
4,3000;4128;9;1;288;53;0,0990;95;19;0;0;0;0;0;0
4,4000;4224;9;1;384;57;0,0990;95;19;0;0;0;0;0;0
4,5000;4320;10;1;0;57;0,2490;239;48;1;0;1;0;0;0
4,7500;4560;10;1;240;57;0,1240;119;24;0;0;0;0;0;0
4,8750;4680;10;1;360;57;0,1240;119;24;0;0;0;0;0;0
5,0000;4800;11;1;0;57;0,1240;119;24;0;0;0;0;0;0
5,1250;4920;11;1;120;57;0,1240;119;24;0;0;0;0;0;0
5,2500;5040;11;1;240;53;0,2490;239;48;1;0;1;0;1;0
5,5000;5280;12;1;0;52;0,0990;95;19;0;0;0;0;0;0
5,6000;5376;12;1;96;52;0,0990;95;19;0;0;0;0;0;0
5,7000;5472;12;1;192;52;0,0990;95;19;0;0;0;0;0;0
5,8000;5568;12;1;288;52;0,0990;95;19;1;1;1;1;0;0
6,0000;5760;13;1;0;59;0,0990;95;19;0;0;0;0;0;0
6,1000;5856;13;1;96;59;0,0990;95;19;0;0;0;0;0;0
6,2000;5952;13;1;192;59;0,0990;95;19;0;0;0;0;0;0
6,3000;6048;13;1;288;57;0,0990;95;19;0;0;0;0;0;0
6,4000;6144;13;1;384;59;0,0990;95;19;0;0;0;0;0;0
6,5000;6240;14;1;0;59;0,2490;239;48;1;1;1;0;1;0
6,7500;6480;14;1;240;59;0,1240;119;24;0;0;0;0;0;0
6,8750;6600;14;1;360;59;0,1240;119;24;1;0;0;0;0;0
7,0000;6720;15;1;0;60;0,1240;119;24;0;0;0;0;0;0
7,1250;6840;15;1;120;60;0,1240;119;24;0;0;0;0;0;0
7,2500;6960;15;1;240;59;0,2490;239;48;1;1;1;0;0;0
7,5000;7200;16;1;0;57;0,0990;95;19;0;0;0;0;0;0
7,6000;7296;16;1;96;57;0,0990;95;19;0;0;0;0;0;0
7,7000;7392;16;1;192;57;0,0990;95;19;0;0;0;0;0;0
7,8000;7488;16;1;288;57;0,0990;95;19;1;0;1;1;1;0
8,0000;7680;17;1;0;57;0,0990;95;19;0;0;0;0;0;0
8,1000;7776;17;1;96;57;0,0990;95;19;0;0;0;0;0;0
8,2000;7872;17;1;192;57;0,0990;95;19;0;0;0;0;0;0
8,3000;7968;17;1;288;53;0,0990;95;19;0;0;0;0;0;0
8,4000;8064;17;1;384;57;0,0990;95;19;0;0;0;0;0;0
8,5000;8160;18;1;0;57;0,2490;239;48;1;0;1;0;0;0
8,7500;8400;18;1;240;57;0,1240;119;24;0;0;0;0;0;0
8,8750;8520;18;1;360;57;0,1240;119;24;0;0;0;0;0;0
9,0000;8640;19;1;0;57;0,1240;119;24;0;0;0;0;0;0
9,1250;8760;19;1;120;57;0,1240;119;24;0;0;0;0;0;0
9,2500;8880;19;1;240;53;0,2490;239;48;1;1;1;0;1;0
9,5000;9120;20;1;0;52;0,0990;95;19;0;0;0;0;0;0
9,6000;9216;20;1;96;52;0,0990;95;19;0;0;0;0;0;0
9,7000;9312;20;1;192;52;0,0990;95;19;0;0;0;0;0;0
9,8000;9408;20;1;288;52;0,0990;95;19;1;1;1;1;0;0
10,0000;9600;21;1;0;52;0,0990;95;19;0;0;0;0;0;0
10,1000;9696;21;1;96;52;0,0990;95;19;0;0;0;0;0;0
10,2000;9792;21;1;192;52;0,0990;95;19;0;0;0;0;0;0
10,3000;9888;21;1;288;50;0,0990;95;19;0;0;0;0;0;0
10,4000;9984;21;1;384;52;0,0990;95;19;0;0;0;0;0;0
10,5000;10080;22;1;0;52;0,2490;239;48;1;0;1;0;1;0
10,7500;10320;22;1;240;52;0,1240;119;24;0;0;0;0;0;0
10,8750;10440;22;1;360;52;0,1240;119;24;0;0;0;0;0;0
11,0000;10560;23;1;0;52;0,1240;119;24;0;0;0;0;0;0
11,1250;10680;23;1;120;52;0,1240;119;24;0;0;0;0;0;0
11,2500;10800;23;1;240;48;0,2490;239;48;1;1;1;1;0;0
11,5000;11040;24;1;0;45;0,0990;95;19;0;0;0;0;0;0
11,6000;11136;24;1;96;45;0,0990;95;19;0;0;0;0;0;0
11,7000;11232;24;1;192;45;0,0990;95;19;0;0;0;0;0;0
11,8000;11328;24;1;288;45;0,0990;95;19;0;1;0;1;0;0
11,9000;11424;24;1;384;45;0,0990;95;19;1;1;1;1;1;1
