Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;59;0,4990;479;12;0;0;0;0;0;0
0,5000;480;1;2;0;59;0,3740;359;9;1;1;1;0;0;0
0,8750;840;1;2;360;57;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;3;0;55;0,4990;479;12;0;0;0;0;1;1
1,5000;1440;2;1;0;55;0,4990;479;12;0;0;1;1;0;1
2,0000;1920;2;2;0;59;0,4990;479;12;0;0;0;0;0;1
2,5000;2400;2;3;0;59;0,3740;359;9;1;0;1;0;0;0
2,8750;2760;2;3;360;57;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;3;1;0;55;0,3740;359;9;1;1;1;1;0;0
3,3750;3240;3;1;360;50;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;3;2;0;52;0,3740;359;9;1;0;1;0;0;0
3,8750;3720;3;2;360;50;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;3;3;0;52;0,4990;479;12;1;0;1;1;1;1
4,5000;4320;4;1;0;50;0,3740;359;9;0;0;0;0;0;0
4,8750;4680;4;1;360;50;0,1240;119;3;0;0;1;0;0;0
5,0000;4800;4;2;0;47;0,3740;359;9;0;0;0;0;0;0
5,3750;5160;4;2;360;47;0,0615;59;1;1;1;1;1;0;0
5,5000;5280;4;3;0;52;0,3740;359;9;0;0;0;0;0;0
5,8750;5640;4;3;360;52;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;5;1;0;52;0,1240;119;3;0;0;0;0;0;0
6,1250;5880;5;1;120;52;0,3740;359;9;0;0;0;0;0;0
6,5000;6240;5;2;0;52;0,3740;359;9;1;0;1;0;0;0
6,8750;6600;5;2;360;50;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;5;3;0;52;0,4990;479;12;1;0;1;0;1;1
7,5000;7200;6;1;0;50;0,3740;359;9;0;0;0;0;0;0
7,8750;7560;6;1;360;50;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;6;2;0;47;0,2490;239;6;1;1;1;1;0;0
8,5000;8160;6;3;0;52;0,1656;159;4;0;0;0;0;0;0
8,6667;8320;6;3;160;50;0,1656;159;4;0;0;0;0;0;0
8,8333;8480;6;3;320;52;0,1656;159;4;0;0;0;0;0;0
9,0000;8640;7;1;0;52;0,2490;239;6;0;0;1;0;0;0
9,2500;8880;7;1;240;50;0,2490;239;6;0;0;0;0;0;0
9,5000;9120;7;2;0;47;0,2490;239;6;1;1;1;1;1;0
10,0000;9600;7;3;0;52;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;7;3;240;50;0,2490;239;6;0;0;0;0;0;0
10,5000;10080;8;1;0;50;0,1240;119;3;0;0;0;0;0;0
10,6250;10200;8;1;120;50;0,1240;119;3;0;0;0;0;0;0
10,7500;10320;8;1;240;50;0,2490;239;6;1;1;1;0;0;0
11,0000;10560;8;2;0;50;0,1240;119;3;0;0;0;0;0;0
11,1250;10680;8;2;120;50;0,1240;119;3;0;0;0;0;0;0
11,2500;10800;8;2;240;50;0,1240;119;3;0;0;0;0;0;0
11,3750;10920;8;2;360;47;0,1240;119;3;1;0;1;1;0;0
11,5000;11040;8;3;0;52;0,1240;119;3;0;0;0;0;0;0
11,6250;11160;8;3;120;52;0,1240;119;3;0;0;0;0;0;0
11,7500;11280;8;3;240;52;0,1240;119;3;0;0;0;1;0;0
11,8750;11400;8;3;360;52;0,6240;599;15;1;1;1;1;1;1
