Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;57;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;57;0,4990;479;4;1;0;1;0;0;0
1,5000;1440;1;2;0;59;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;2;1;0;57;1,4990;1439;12;1;0;1;0;1;1
4,0000;3840;4;1;0;59;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;4;2;0;57;0,9990;959;8;1;1;0;0;0;1
6,0000;5760;6;1;0;54;0,2490;239;2;0;0;1;1;0;0
6,5000;6240;6;2;0;57;0,4990;479;4;1;0;0;0;0;0
7,0000;6720;7;1;0;57;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;7;1;240;57;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;7;2;0;57;0,2490;239;2;1;1;1;0;0;0
8,0000;7680;8;1;0;57;0,2490;239;2;0;0;0;0;0;0
8,2500;7920;8;1;240;57;0,2490;239;2;1;0;1;0;1;0
9,0000;8640;9;1;0;57;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;9;2;0;57;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;9;2;240;57;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;10;1;0;54;0,4990;479;4;1;1;1;1;0;0
10,8750;10440;10;2;360;57;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;11;1;0;57;0,4990;479;4;0;0;1;0;0;0
11,5000;11040;11;2;0;59;0,2490;239;2;0;0;0;0;0;0
12,0000;11520;12;1;0;57;1,4990;1439;12;1;0;1;0;1;1
14,0000;13440;14;1;0;59;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;14;2;0;57;0,9990;959;8;1;1;0;0;0;1
16,0000;15360;16;1;0;54;0,2490;239;2;0;0;1;1;0;0
16,5000;15840;16;2;0;57;0,4990;479;4;1;0;0;0;0;0
17,0000;16320;17;1;0;57;0,2490;239;2;0;0;0;0;0;0
17,2500;16560;17;1;240;57;0,2490;239;2;0;0;0;0;0;0
17,5000;16800;17;2;0;57;0,2490;239;2;1;1;1;0;0;0
18,0000;17280;18;1;0;57;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;18;1;240;57;0,2490;239;2;1;1;1;0;1;0
19,0000;18240;19;1;0;57;0,4990;479;4;0;0;0;0;0;0
19,5000;18720;19;2;0;57;0,2490;239;2;0;0;0;0;0;0
19,7500;18960;19;2;240;57;0,2490;239;2;0;0;0;0;0;0
20,0000;19200;20;1;0;54;0,4990;479;4;1;1;1;1;0;0
20,8750;20040;20;2;360;57;0,1240;119;1;0;0;0;0;0;0
21,0000;20160;21;1;0;54;0,4990;479;4;1;1;1;1;1;1
