Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;58;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;58;0,1656;159;4;1;1;1;0;0;0
0,6667;640;1;2;160;55;0,1656;159;4;0;0;0;0;0;0
0,8333;800;1;2;320;55;0,0823;79;2;0;0;0;0;0;0
1,0000;960;2;1;0;58;0,2490;239;6;1;0;1;0;0;0
1,3750;1320;2;1;360;58;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;58;0,2490;239;6;1;0;1;1;1;0
1,8750;1800;2;2;360;58;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;58;0,3740;359;9;1;1;1;0;0;0
2,3750;2280;3;1;360;58;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;58;0,1656;159;4;1;1;0;0;0;0
2,6667;2560;3;2;160;58;0,1656;159;4;0;0;0;0;0;0
2,8333;2720;3;2;320;58;0,0823;79;2;0;0;0;0;0;0
3,0000;2880;4;1;0;58;0,2490;239;6;1;1;1;0;0;0
3,3750;3240;4;1;360;58;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;4;2;0;58;0,2490;239;6;1;0;1;1;1;0
3,8750;3720;4;2;360;58;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;58;0,3740;359;9;1;1;1;0;0;0
4,3750;4200;5;1;360;58;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;5;2;0;60;0,2490;239;6;1;1;1;1;0;0
4,8750;4680;5;2;360;60;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;6;1;0;60;0,1656;159;4;1;0;1;0;0;0
5,1667;4960;6;1;160;58;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;6;1;320;58;0,1656;159;4;0;0;0;0;0;0
5,5000;5280;6;2;0;58;0,2490;239;6;1;1;1;1;1;0
5,8750;5640;6;2;360;60;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;60;0,1656;159;4;0;0;1;0;0;0
6,1667;5920;7;1;160;58;0,1656;159;4;0;0;0;0;0;0
6,3333;6080;7;1;320;58;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;7;2;0;58;0,1656;159;4;1;0;1;0;0;0
6,6667;6400;7;2;160;55;0,1656;159;4;0;0;0;0;0;0
6,8333;6560;7;2;320;55;0,0823;79;2;1;1;1;1;1;0
7,0000;6720;8;1;0;60;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;8;1;160;58;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;8;1;320;58;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;8;2;0;58;0,1656;159;4;1;0;1;0;0;0
7,6667;7360;8;2;160;55;0,1656;159;4;0;0;0;0;0;0
7,8333;7520;8;2;320;55;0,0823;79;2;0;1;0;0;0;0
8,0000;7680;9;1;0;58;0,2490;239;6;0;1;1;0;0;0
8,3750;8040;9;1;360;58;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;9;2;0;58;0,2490;239;6;1;0;1;1;1;0
8,8750;8520;9;2;360;58;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;10;1;0;58;0,3740;359;9;1;0;1;0;0;0
9,3750;9000;10;1;360;58;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;10;2;0;58;0,1656;159;4;1;1;1;0;0;0
9,6667;9280;10;2;160;55;0,1656;159;4;0;0;0;0;0;0
9,8333;9440;10;2;320;55;0,0823;79;2;0;0;0;0;0;0
10,0000;9600;11;1;0;58;0,2490;239;6;1;0;1;1;0;0
10,3750;9960;11;1;360;58;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;11;2;0;58;0,2490;239;6;0;0;1;0;0;0
10,8750;10440;11;2;360;58;0,1240;119;3;1;1;1;1;1;1
