Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;62;0,2490;239;2;0;0;0;0;0;0
0,7500;720;0;2;240;62;0,2490;239;2;0;0;1;0;0;0
1,0000;960;1;1;0;59;0,4990;479;4;1;0;0;0;0;0
1,7500;1680;1;2;240;59;0,2490;239;2;0;0;0;0;0;0
2,0000;1920;2;1;0;59;0,2490;239;2;1;1;1;1;0;0
3,0000;2880;3;1;0;62;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;3;1;120;62;0,3740;359;3;1;0;1;0;0;0
3,5000;3360;3;2;0;59;0,4990;479;4;0;0;0;0;0;0
4,2500;4080;4;1;240;59;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;4;2;0;59;0,4990;479;4;1;1;1;1;1;0
5,5000;5280;5;2;0;62;0,1240;119;1;0;0;0;0;0;0
5,6250;5400;5;2;120;62;0,3740;359;3;1;0;1;0;0;0
6,0000;5760;6;1;0;59;0,7490;719;6;0;0;0;0;0;0
6,7500;6480;6;2;240;59;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;7;1;0;59;0,2490;239;2;1;1;1;0;0;0
7,5000;7200;7;2;0;60;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;8;2;0;60;0,4990;479;4;1;1;1;1;1;1
