Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,2490;239;12;1;0;1;0;0;0
0,2500;240;1;1;240;62;0,1240;119;6;0;0;0;0;0;0
0,3750;360;1;1;360;62;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,3740;359;18;1;1;1;1;0;0
0,8750;840;1;2;360;58;0,1240;119;6;0;0;0;0;0;0
1,0000;960;2;1;0;58;0,3740;359;18;1;0;1;0;1;0
1,3750;1320;2;1;360;53;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;2;2;0;60;0,1240;119;6;0;0;0;0;0;0
1,6250;1560;2;2;120;60;0,2490;239;12;1;0;1;0;0;0
1,8750;1800;2;2;360;60;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;3;1;0;60;0,4990;479;24;0;1;1;0;0;1
2,5000;2400;3;2;0;60;0,1656;159;8;0;0;0;0;0;0
2,6667;2560;3;2;160;60;0,1656;159;8;0;0;0;0;0;0
2,8333;2720;3;2;320;60;0,1656;159;8;0;0;0;0;0;0
3,0000;2880;4;1;0;58;0,3740;359;18;1;1;1;1;1;0
3,3750;3240;4;1;360;53;0,1240;119;6;0;0;0;0;0;0
3,5000;3360;4;2;0;53;0,3740;359;18;1;0;1;0;0;0
3,8750;3720;4;2;360;50;0,1240;119;6;0;0;0;0;0;0
4,0000;3840;5;1;0;53;0,1240;119;6;0;0;0;0;0;0
4,1250;3960;5;1;120;55;0,1240;119;6;0;0;0;0;0;0
4,2500;4080;5;1;240;53;0,1865;179;9;0;0;1;0;0;0
4,4375;4260;5;1;420;55;0,0615;59;3;0;0;0;0;0;0
4,5000;4320;5;2;0;55;0,1240;119;6;1;0;1;1;0;0
4,6250;4440;5;2;120;53;0,3740;359;18;0;0;0;0;1;0
5,0000;4800;6;1;0;53;0,1656;159;8;0;0;0;0;0;0
5,1667;4960;6;1;160;53;0,1656;159;8;0;0;0;0;0;0
5,3333;5120;6;1;320;50;0,1656;159;8;0;0;0;0;0;0
5,5000;5280;6;2;0;53;0,3740;359;18;1;0;1;0;0;0
5,8750;5640;6;2;360;53;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;7;1;0;53;0,3740;359;18;1;1;1;1;0;0
6,3750;6120;7;1;360;50;0,1240;119;6;0;0;0;0;0;0
6,5000;6240;7;2;0;53;0,3740;359;18;1;0;1;0;0;0
6,8750;6600;7;2;360;53;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;8;1;0;53;0,3740;359;18;1;0;1;0;0;0
7,3750;7080;8;1;360;53;0,1240;119;6;0;0;0;0;0;0
7,5000;7200;8;2;0;53;0,2490;239;12;1;1;1;1;1;0
8,0000;7680;9;1;0;58;0,2490;239;12;0;0;0;0;0;0
8,2500;7920;9;1;240;60;0,1240;119;6;0;0;0;0;0;0
8,3750;8040;9;1;360;60;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;9;2;0;60;0,3740;359;18;1;1;1;0;0;0
8,8750;8520;9;2;360;58;0,1240;119;6;0;0;0;0;0;0
9,0000;8640;10;1;0;58;0,3740;359;18;1;0;1;1;0;0
9,3750;9000;10;1;360;53;0,1240;119;6;0;0;0;0;0;0
9,5000;9120;10;2;0;58;0,3740;359;18;1;0;0;0;0;0
9,8750;9480;10;2;360;58;0,1240;119;6;0;0;0;0;0;0
10,0000;9600;11;1;0;58;0,3740;359;18;1;1;1;0;0;0
10,3750;9960;11;1;360;55;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;11;2;0;53;0,4990;479;24;1;1;1;1;1;1
11,0000;10560;12;1;0;50;0,1240;119;6;0;0;0;0;0;0
11,1250;10680;12;1;120;50;0,3740;359;18;1;1;1;0;0;0
11,5000;11040;12;2;0;53;0,2490;239;12;0;0;0;0;0;0
11,7500;11280;12;2;240;55;0,1240;119;6;0;0;0;0;0;0
11,8750;11400;12;2;360;55;0,1240;119;6;0;0;0;0;0;0
12,0000;11520;13;1;0;55;0,1240;119;6;0;0;1;0;0;0
12,1250;11640;13;1;120;53;0,3740;359;18;0;0;0;0;0;0
12,5000;12000;13;2;0;53;0,2490;239;12;1;0;1;1;1;0
13,0000;12480;14;1;0;53;0,3740;359;18;0;0;0;0;0;0
13,3750;12840;14;1;360;53;0,1240;119;6;0;0;0;0;0;0
13,5000;12960;14;2;0;53;0,3740;359;18;1;1;1;0;0;0
13,8750;13320;14;2;360;50;0,1240;119;6;0;0;0;0;0;0
14,0000;13440;15;1;0;53;0,3740;359;18;1;0;1;0;0;0
14,3750;13800;15;1;360;53;0,1240;119;6;0;0;0;0;0;0
14,5000;13920;15;2;0;53;0,3740;359;18;1;0;1;1;0;0
14,8750;14280;15;2;360;53;0,1240;119;6;0;0;0;0;0;0
15,0000;14400;16;1;0;53;0,9990;959;48;1;1;1;1;1;1
