Signature: 3/8, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;59;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;59;0,2490;239;6;1;1;1;1;0;0
1,0000;960;1;3;0;62;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;1;3;240;59;0,2490;239;6;0;0;1;0;0;0
1,5000;1440;2;1;0;62;0,3740;359;9;1;1;0;0;0;0
1,8750;1800;2;1;360;62;0,1240;119;3;0;0;1;1;0;0
2,0000;1920;2;2;0;59;0,1656;159;4;1;0;0;0;0;0
2,1667;2080;2;2;160;57;0,1656;159;4;0;0;1;0;0;0
2,3333;2240;2;2;320;55;0,1656;159;4;0;0;0;0;0;0
2,5000;2400;2;3;0;55;0,4990;479;12;1;0;1;1;1;1
3,5000;3360;3;2;0;55;0,3740;359;9;0;0;0;0;0;0
3,8750;3720;3;2;360;55;0,1240;119;3;0;0;1;0;0;0
4,0000;3840;3;3;0;59;0,3740;359;9;1;1;0;0;0;0
4,3750;4200;3;3;360;62;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;4;1;0;59;0,1656;159;4;0;0;0;0;0;0
4,6667;4480;4;1;160;57;0,1656;159;4;1;0;1;0;0;0
4,8333;4640;4;1;320;55;0,1656;159;4;0;0;0;0;0;0
5,0000;4800;4;2;0;55;0,4990;479;12;1;0;1;1;1;1
5,8750;5640;4;3;360;55;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;5;1;0;55;0,3740;359;9;1;1;1;0;0;0
6,3750;6120;5;1;360;62;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;5;2;0;59;0,3740;359;9;1;0;1;0;0;0
6,8750;6600;5;2;360;62;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;5;3;0;59;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;5;3;160;57;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;5;3;320;59;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;6;1;0;55;0,2490;239;6;0;1;1;0;0;0
7,7500;7440;6;1;240;52;0,7490;719;18;0;1;0;0;1;1
8,5000;8160;6;3;0;52;0,3740;359;9;0;0;0;0;0;0
8,8750;8520;6;3;360;52;0,1240;119;3;0;0;1;0;0;0
9,0000;8640;7;1;0;55;0,4990;479;12;1;1;0;0;0;1
9,5000;9120;7;2;0;55;0,2490;239;6;0;0;0;0;0;0
9,7500;9360;7;2;240;55;0,1240;119;3;0;0;0;0;0;0
9,8750;9480;7;2;360;55;0,1240;119;3;0;0;0;0;0;0
10,0000;9600;7;3;0;55;0,2490;239;6;1;0;1;1;0;0
10,2500;9840;7;3;240;59;0,2490;239;6;0;0;0;0;0;0
10,5000;10080;8;1;0;59;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;8;1;240;59;0,1240;119;3;0;1;1;0;0;0
10,8750;10440;8;1;360;57;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;8;2;0;57;0,2490;239;6;0;0;1;0;0;0
11,2500;10800;8;2;240;55;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;8;3;0;52;0,4990;479;12;1;0;1;1;1;1
12,8750;12360;9;2;360;55;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;9;3;0;55;0,3740;359;9;1;1;1;0;0;0
13,3750;12840;9;3;360;62;0,1240;119;3;0;0;0;0;0;0
13,5000;12960;10;1;0;59;0,3740;359;9;1;0;1;0;0;0
13,8750;13320;10;1;360;62;0,1240;119;3;0;0;0;0;0;0
14,0000;13440;10;2;0;59;0,1656;159;4;1;1;0;0;0;0
14,1667;13600;10;2;160;57;0,1656;159;4;0;0;0;0;0;0
14,3333;13760;10;2;320;59;0,1656;159;4;0;0;0;0;0;0
14,5000;13920;10;3;0;55;0,2490;239;6;0;1;1;0;0;0
14,7500;14160;10;3;240;52;0,7490;719;18;0;1;0;0;1;1
15,5000;14880;11;2;0;52;0,3740;359;9;0;0;0;0;0;0
15,8750;15240;11;2;360;52;0,1240;119;3;0;0;1;1;0;0
16,0000;15360;11;3;0;55;0,4990;479;12;1;1;0;0;0;1
16,5000;15840;12;1;0;55;0,2490;239;6;0;0;0;0;0;0
16,7500;16080;12;1;240;55;0,2490;239;6;0;0;1;0;0;0
17,0000;16320;12;2;0;59;0,4990;479;12;1;0;0;0;0;1
17,5000;16800;12;3;0;57;0,2490;239;6;0;0;0;0;0;0
17,7500;17040;12;3;240;55;0,2490;239;6;0;0;0;0;0;0
18,0000;17280;13;1;0;52;0,4990;479;12;1;1;1;1;1;1
18,8750;18120;13;2;360;55;0,1240;119;3;0;0;0;0;0;0
19,0000;18240;13;3;0;55;0,3740;359;9;1;0;0;0;0;0
19,3750;18600;13;3;360;55;0,1240;119;3;0;0;1;0;0;0
19,5000;18720;14;1;0;62;0,3740;359;9;1;1;0;0;0;0
