Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;72;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;72;0,2490;239;6;1;0;1;0;0;0
0,5000;480;1;2;0;70;0,4990;479;12;0;0;0;0;0;0
1,0000;960;2;1;0;70;0,4990;479;12;1;1;1;1;0;0
1,5000;1440;2;2;0;68;0,1656;159;4;0;0;0;0;0;0
1,6667;1600;2;2;160;68;0,1656;159;4;0;0;0;0;0;0
1,8333;1760;2;2;320;65;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;3;1;0;68;0,4990;479;12;0;0;0;0;0;0
2,5000;2400;3;2;0;68;0,4990;479;12;1;1;1;0;1;0
3,0000;2880;4;1;0;70;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;4;1;240;70;0,2490;239;6;1;0;1;0;0;0
3,5000;3360;4;2;0;68;0,4990;479;12;0;0;0;0;0;0
4,0000;3840;5;1;0;68;0,4990;479;12;1;1;1;1;0;0
4,5000;4320;5;2;0;65;0,1656;159;4;0;0;0;0;0;0
4,6667;4480;5;2;160;65;0,1656;159;4;0;0;0;0;0;0
4,8333;4640;5;2;320;65;0,1656;159;4;0;1;0;0;0;0
5,0000;4800;6;1;0;65;0,4990;479;12;0;0;1;0;0;0
5,5000;5280;6;2;0;65;0,4990;479;12;1;1;0;0;1;0
6,0000;5760;7;1;0;65;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;7;1;240;65;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;7;2;0;65;0,4990;479;12;0;0;0;0;0;0
7,0000;6720;8;1;0;65;0,4990;479;12;1;0;1;0;0;0
7,5000;7200;8;2;0;65;0,1656;159;4;0;0;0;0;0;0
7,6667;7360;8;2;160;65;0,1656;159;4;0;0;0;0;0;0
7,8333;7520;8;2;320;65;0,1656;159;4;0;0;0;0;0;0
8,0000;7680;9;1;0;65;0,3740;359;9;1;1;1;1;0;0
8,3750;8040;9;1;360;72;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;9;2;0;72;0,3740;359;9;1;0;1;0;1;0
8,8750;8520;9;2;360;72;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;10;1;0;72;0,2490;239;6;1;0;1;0;0;0
9,2500;8880;10;1;240;72;0,0823;79;2;0;0;0;0;0;0
9,3333;8960;10;1;320;70;0,0823;79;2;1;0;0;0;0;0
9,4167;9040;10;1;400;68;0,0823;79;2;0;0;0;0;0;0
9,5000;9120;10;2;0;68;0,4990;479;12;0;0;1;0;0;0
10,0000;9600;11;1;0;68;0,4990;479;12;0;0;0;0;1;0
10,5000;10080;11;2;0;68;0,4990;479;12;1;1;1;1;0;0
11,0000;10560;12;1;0;72;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;12;1;240;72;0,2490;239;6;1;0;1;0;0;0
11,5000;11040;12;2;0;70;0,4990;479;12;0;0;0;0;0;0
12,0000;11520;13;1;0;70;0,4990;479;12;0;0;1;1;0;0
12,5000;12000;13;2;0;68;0,1656;159;4;1;1;0;0;0;0
12,6667;12160;13;2;160;68;0,1656;159;4;0;0;0;0;0;0
12,8333;12320;13;2;320;65;0,1656;159;4;0;0;0;0;0;0
13,0000;12480;14;1;0;68;0,4990;479;12;0;0;0;0;1;0
13,5000;12960;14;2;0;68;0,4990;479;12;1;1;1;0;0;0
14,0000;13440;15;1;0;70;0,2490;239;6;0;0;0;0;0;0
14,2500;13680;15;1;240;70;0,2490;239;6;1;0;1;0;0;0
14,5000;13920;15;2;0;68;0,4990;479;12;0;0;0;0;0;0
15,0000;14400;16;1;0;68;0,4990;479;12;0;0;1;1;0;0
15,5000;14880;16;2;0;65;0,1656;159;4;1;1;0;0;0;0
15,6667;15040;16;2;160;65;0,1656;159;4;0;0;0;0;0;0
15,8333;15200;16;2;320;65;0,1656;159;4;0;0;0;0;0;0
16,0000;15360;17;1;0;65;0,4990;479;12;1;0;1;0;0;0
16,5000;15840;17;2;0;65;0,3740;359;9;0;0;0;0;0;0
16,8750;16200;17;2;360;65;0,1240;119;3;0;0;0;0;0;0
17,0000;16320;18;1;0;65;0,4990;479;12;0;0;1;0;0;0
17,5000;16800;18;2;0;65;0,9990;959;24;1;1;1;1;1;1
