Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;56;0,1240;119;1;0;0;0;0;0;0
1,0000;960;1;1;0;56;0,3740;359;3;1;1;1;0;0;0
1,3750;1320;1;1;360;54;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;2;0;52;0,3740;359;3;1;0;0;0;0;0
1,8750;1800;1;2;360;54;0,1240;119;1;0;0;0;0;0;0
2,0000;1920;2;1;0;52;0,9990;959;8;1;1;1;0;1;0
3,0000;2880;3;1;0;52;0,4990;479;4;0;0;0;0;0;0
3,5000;3360;3;2;0;52;0,3740;359;3;1;1;1;1;0;0
3,8750;3720;3;2;360;49;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;4;1;0;47;0,9990;959;8;1;1;1;0;0;0
5,0000;4800;5;1;0;47;0,4990;479;4;0;0;0;0;0;0
5,5000;5280;5;2;0;47;0,3740;359;3;1;1;1;1;0;0
5,8750;5640;5;2;360;45;0,1240;119;1;0;0;0;0;0;0
6,0000;5760;6;1;0;45;0,9990;959;8;1;0;1;0;1;0
7,0000;6720;7;1;0;45;0,4990;479;4;0;0;0;0;0;0
7,5000;7200;7;2;0;45;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;8;1;0;45;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;8;2;0;45;0,4990;479;4;1;1;1;1;0;0
9,3750;9000;9;1;360;54;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;9;2;0;52;0,3740;359;3;1;0;0;0;0;0
9,8750;9480;9;2;360;52;0,1240;119;1;0;0;1;0;0;0
10,0000;9600;10;1;0;54;0,3740;359;3;1;1;0;0;0;0
10,3750;9960;10;1;360;54;0,1240;119;1;0;0;1;0;0;0
10,5000;10080;10;2;0;52;0,9990;959;8;1;0;0;0;1;0
11,5000;11040;11;2;0;52;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;12;1;0;52;0,4990;479;4;0;0;1;1;0;0
12,5000;12000;12;2;0;49;0,9990;959;8;1;1;0;0;0;0
13,5000;12960;13;2;0;49;0,4990;479;4;0;0;0;0;0;0
14,0000;13440;14;1;0;49;0,3740;359;3;1;1;1;0;0;0
14,3750;13800;14;1;360;47;0,1240;119;1;0;0;0;0;0;0
14,5000;13920;14;2;0;47;0,9990;959;8;1;0;1;0;0;0
15,5000;14880;15;2;0;47;0,4990;479;4;0;0;0;0;0;0
16,0000;15360;16;1;0;47;0,4990;479;4;1;0;1;1;1;0
16,8750;16200;16;2;360;47;0,1240;119;1;0;0;0;0;0;0
17,0000;16320;17;1;0;44;0,3740;359;3;1;1;1;0;0;0
17,3750;16680;17;1;360;47;0,1240;119;1;0;0;0;0;0;0
17,5000;16800;17;2;0;47;0,3740;359;3;1;1;1;0;0;0
17,8750;17160;17;2;360;49;0,1240;119;1;0;0;0;0;0;0
18,0000;17280;18;1;0;47;0,9990;959;8;1;0;1;0;0;0
19,0000;18240;19;1;0;47;0,4990;479;4;0;0;0;0;0;0
19,5000;18720;19;2;0;47;0,4990;479;4;0;0;0;0;0;0
20,0000;19200;20;1;0;47;0,4990;479;4;0;0;0;0;0;0
20,5000;19680;20;2;0;44;0,4990;479;4;1;1;1;1;1;0
22,8750;21960;22;2;360;47;0,1240;119;1;0;0;0;0;0;0
23,0000;22080;23;1;0;47;0,2490;239;2;0;0;1;0;0;0
23,2500;22320;23;1;240;54;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;23;2;0;54;0,2490;239;2;0;0;0;0;0;0
23,7500;22800;23;2;240;54;0,2490;239;2;0;0;0;0;0;0
24,0000;23040;24;1;0;54;0,2490;239;2;0;0;0;0;0;0
24,2500;23280;24;1;240;54;0,2490;239;2;0;0;0;0;0;0
24,5000;23520;24;2;0;54;0,3740;359;3;1;1;1;0;0;0
24,8750;23880;24;2;360;54;0,1240;119;1;0;0;0;0;0;0
25,0000;24000;25;1;0;54;0,9990;959;8;1;0;1;0;1;0
26,0000;24960;26;1;0;54;0,4990;479;4;0;0;0;0;0;0
26,5000;25440;26;2;0;54;0,3740;359;3;1;1;1;1;0;0
26,8750;25800;26;2;360;51;0,1240;119;1;0;0;0;0;0;0
27,0000;25920;27;1;0;49;0,9990;959;8;1;0;1;0;0;0
28,0000;26880;28;1;0;49;0,4990;479;4;0;0;0;0;0;0
28,5000;27360;28;2;0;49;0,2490;239;2;1;1;1;1;0;0
28,8750;27720;28;2;360;54;0,1240;119;1;0;0;0;0;0;0
29,0000;27840;29;1;0;54;0,3740;359;3;1;0;1;0;0;0
29,3750;28200;29;1;360;54;0,1240;119;1;0;0;0;0;0;0
29,5000;28320;29;2;0;54;0,9990;959;8;1;0;1;0;1;0
30,5000;29280;30;2;0;54;0,4990;479;4;0;0;0;0;0;0
31,0000;29760;31;1;0;54;0,3740;359;3;1;1;1;1;0;0
31,3750;30120;31;1;360;52;0,1240;119;1;0;0;0;0;0;0
31,5000;30240;31;2;0;52;0,9990;959;8;1;0;1;0;0;0
32,5000;31200;32;2;0;52;0,4990;479;4;0;0;0;0;0;0
33,0000;31680;33;1;0;52;0,3740;359;3;1;1;1;1;0;0
33,3750;32040;33;1;360;49;0,1240;119;1;0;0;0;0;0;0
33,5000;32160;33;2;0;47;0,9990;959;8;1;0;1;0;0;0
34,5000;33120;34;2;0;47;0,4990;479;4;0;0;0;0;0;0
35,0000;33600;35;1;0;47;0,4990;479;4;1;1;1;1;1;0
35,8750;34440;35;2;360;54;0,1240;119;1;0;0;0;0;0;0
36,0000;34560;36;1;0;52;0,3740;359;3;1;0;0;0;0;0
36,3750;34920;36;1;360;52;0,1240;119;1;0;0;1;0;0;0
36,5000;35040;36;2;0;54;0,3740;359;3;1;1;0;0;0;0
36,8750;35400;36;2;360;54;0,1240;119;1;0;0;1;0;0;0
37,0000;35520;37;1;0;52;0,9990;959;8;1;0;0;0;1;0
38,0000;36480;38;1;0;52;0,4990;479;4;0;0;0;0;0;0
38,5000;36960;38;2;0;52;0,4990;479;4;0;0;1;1;0;0
39,0000;37440;39;1;0;49;0,9990;959;8;1;1;0;0;0;0
40,0000;38400;40;1;0;49;0,4990;479;4;0;0;0;0;0;0
40,5000;38880;40;2;0;49;0,3740;359;3;1;1;1;0;0;0
40,8750;39240;40;2;360;47;0,1240;119;1;0;0;0;0;0;0
41,0000;39360;41;1;0;47;0,9990;959;8;1;0;1;0;0;0
42,0000;40320;42;1;0;47;0,4990;479;4;0;0;0;0;0;0
42,5000;40800;42;2;0;47;0,4990;479;4;1;0;1;1;1;0
43,3750;41640;43;1;360;47;0,1240;119;1;0;0;0;0;0;0
43,5000;41760;43;2;0;44;0,3740;359;3;1;1;1;0;0;0
43,8750;42120;43;2;360;47;0,1240;119;1;0;0;0;0;0;0
44,0000;42240;44;1;0;47;0,3740;359;3;1;1;1;0;0;0
44,3750;42600;44;1;360;49;0,1240;119;1;0;0;0;0;0;0
44,5000;42720;44;2;0;47;0,9990;959;8;1;0;1;1;0;0
45,5000;43680;45;2;0;47;0,4990;479;4;0;0;0;0;0;0
46,0000;44160;46;1;0;47;0,4990;479;4;0;0;0;0;0;0
46,5000;44640;46;2;0;47;0,4990;479;4;1;0;1;0;0;0
47,0000;45120;47;1;0;44;0,4990;479;4;1;1;1;1;1;1
