Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;59;0,3740;359;9;0;0;1;0;0;0
0,3750;360;1;1;360;59;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;59;0,3740;359;9;1;1;1;1;0;0
0,8750;840;1;2;360;60;0,1240;119;3;0;0;0;0;0;0
1,0000;960;2;1;0;59;0,3740;359;9;1;0;1;0;0;0
1,3750;1320;2;1;360;59;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;59;0,4990;479;12;1;0;1;0;0;0
2,0000;1920;3;1;0;59;0,2490;239;6;0;0;0;0;0;0
2,2500;2160;3;1;240;57;0,2490;239;6;0;0;0;0;0;0
2,5000;2400;3;2;0;55;1,3740;1319;33;1;1;1;1;1;1
3,8750;3720;4;2;360;47;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;47;0,4990;479;12;0;0;0;0;0;0
4,5000;4320;5;2;0;47;0,2490;239;6;1;1;1;0;0;0
5,0000;4800;6;1;0;52;0,3740;359;9;0;0;0;0;0;0
5,3750;5160;6;1;360;52;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;52;0,3740;359;9;1;0;1;0;0;0
5,8750;5640;6;2;360;52;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;52;0,3740;359;9;1;1;1;1;0;0
6,3750;6120;7;1;360;59;0,1240;119;3;0;0;0;0;0;0
6,5000;6240;7;2;0;59;0,2490;239;6;0;0;1;0;0;0
6,7500;6480;7;2;240;57;0,2490;239;6;0;0;0;0;0;0
7,0000;6720;8;1;0;57;0,2490;239;6;0;0;0;0;0;0
7,2500;6960;8;1;240;55;0,2490;239;6;0;0;0;0;0;0
7,5000;7200;8;2;0;52;0,9990;959;24;1;1;1;0;1;1
8,5000;8160;9;2;0;47;0,4990;479;12;0;0;0;0;0;0
9,0000;8640;10;1;0;47;0,2490;239;6;1;0;1;1;0;0
9,5000;9120;10;2;0;57;0,3740;359;9;0;0;0;0;0;0
9,8750;9480;10;2;360;57;0,1240;119;3;0;0;1;0;0;0
10,0000;9600;11;1;0;54;0,3740;359;9;1;0;0;0;0;0
10,3750;9960;11;1;360;54;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;11;2;0;54;0,3740;359;9;1;0;1;0;0;0
