Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;63;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;1;0;65;1,9990;1919;16;1;1;1;1;0;1
3,0000;2880;3;1;0;60;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;3;1;240;60;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;3;2;0;60;0,1240;119;1;1;0;1;0;0;0
3,7500;3600;3;2;240;65;0,2490;239;2;0;0;0;0;0;0
4,0000;3840;4;1;0;65;0,4990;479;4;1;1;1;0;0;0
4,5000;4320;4;2;0;67;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;4;2;240;65;0,1240;119;1;0;0;0;0;0;0
4,8750;4680;4;2;360;65;0,1240;119;1;0;0;0;0;1;0
5,0000;4800;5;1;0;65;0,2490;239;2;0;0;0;0;0;0
5,2500;5040;5;1;240;65;0,2490;239;2;1;1;1;1;0;0
5,5000;5280;5;2;0;63;0,2490;239;2;0;0;0;0;0;0
5,7500;5520;5;2;240;63;0,2490;239;2;0;0;1;0;0;0
6,0000;5760;6;1;0;61;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;6;1;240;63;0,2490;239;2;0;0;1;0;0;0
6,5000;6240;6;2;0;61;0,1240;119;1;0;0;0;0;0;0
6,6250;6360;6;2;120;61;0,3740;359;3;1;1;1;0;0;0
7,0000;6720;7;1;0;58;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;7;1;240;56;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;7;2;0;56;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;7;2;240;53;1,4990;1439;12;1;1;1;1;1;1
10,0000;9600;10;1;0;63;0,2490;239;2;0;0;0;0;0;0
10,2500;9840;10;1;240;65;1,9990;1919;16;1;0;1;0;1;1
12,2500;11760;12;1;240;60;0,2490;239;2;0;0;0;0;0;0
12,5000;12000;12;2;0;60;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;12;2;240;60;0,2490;239;2;1;0;1;0;0;0
13,2500;12720;13;1;240;65;0,4990;479;4;0;0;0;0;0;0
13,7500;13200;13;2;240;67;0,2490;239;2;0;0;1;0;0;0
14,0000;13440;14;1;0;65;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;14;1;240;65;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;14;2;0;65;0,2490;239;2;1;0;1;1;0;0
14,7500;14160;14;2;240;63;0,2490;239;2;0;0;0;0;0;0
15,0000;14400;15;1;0;63;0,2490;239;2;0;0;1;0;0;0
15,2500;14640;15;1;240;61;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;15;2;0;63;0,2490;239;2;0;0;1;0;0;0
15,7500;15120;15;2;240;61;0,1240;119;1;0;0;0;0;0;0
15,8750;15240;15;2;360;61;0,3740;359;3;1;1;1;0;0;0
16,2500;15600;16;1;240;58;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;16;2;0;56;0,2490;239;2;0;0;0;0;0;0
16,7500;16080;16;2;240;56;0,2490;239;2;0;0;0;0;0;0
17,0000;16320;17;1;0;53;1,4990;1439;12;1;0;1;1;1;1
19,2500;18480;19;1;240;53;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;19;2;0;56;1,4990;1439;12;1;1;1;0;0;1
21,0000;20160;21;1;0;61;0,2490;239;2;0;0;0;0;0;0
21,2500;20400;21;1;240;61;0,2490;239;2;0;0;0;0;0;0
21,5000;20640;21;2;0;61;0,4990;479;4;1;0;0;0;0;0
22,0000;21120;22;1;0;61;0,2490;239;2;0;0;1;0;0;0
22,2500;21360;22;1;240;58;0,2490;239;2;0;0;0;0;0;0
22,5000;21600;22;2;0;58;0,4990;479;4;1;1;1;0;0;0
23,0000;22080;23;1;0;56;0,2490;239;2;0;0;0;0;0;0
23,2500;22320;23;1;240;58;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;23;2;0;58;0,2490;239;2;0;0;0;0;0;0
23,7500;22800;23;2;240;56;0,7490;719;6;1;0;1;1;0;0
24,5000;23520;24;2;0;53;0,9990;959;8;0;0;0;0;0;0
25,5000;24480;25;2;0;53;0,9990;959;8;1;1;1;1;1;1
