Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;53;0,1240;119;6;0;0;0;0;0;0
0,1250;120;1;1;120;53;0,1240;119;6;1;0;1;1;0;0
0,2500;240;1;1;240;62;0,1240;119;6;0;0;0;0;0;0
0,3750;360;1;1;360;62;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,1865;179;9;1;0;1;0;0;0
0,6875;660;1;2;180;58;0,0615;59;3;0;0;0;0;0;0
0,7500;720;1;2;240;58;0,3740;359;18;1;1;1;1;0;0
1,1250;1080;2;1;120;60;0,1240;119;6;0;0;0;0;0;0
1,2500;1200;2;1;240;60;0,3740;359;18;1;0;1;0;1;0
1,6250;1560;2;2;120;58;0,1240;119;6;0;0;0;0;0;0
1,7500;1680;2;2;240;55;0,1656;159;8;0;0;0;0;0;0
1,9167;1840;2;2;400;53;0,1656;159;8;0;0;0;0;0;0
2,0833;2000;3;1;80;53;0,1656;159;8;0;0;0;0;0;0
2,2500;2160;3;1;240;51;0,3740;359;18;1;0;1;0;0;0
2,6250;2520;3;2;120;51;0,1240;119;6;0;0;0;0;0;0
2,7500;2640;3;2;240;55;0,1656;159;8;1;1;0;0;0;0
2,9167;2800;3;2;400;53;0,1656;159;8;0;0;0;0;0;0
3,0833;2960;4;1;80;53;0,1656;159;8;0;0;0;0;0;0
3,2500;3120;4;1;240;53;0,3740;359;18;1;0;1;1;1;0
3,6250;3480;4;2;120;50;0,1240;119;6;0;0;0;0;0;0
3,7500;3600;4;2;240;53;0,3740;359;18;1;0;1;0;0;0
4,1250;3960;5;1;120;50;0,1240;119;6;0;0;0;0;0;0
4,2500;4080;5;1;240;53;0,0615;59;3;0;0;0;0;0;0
4,3125;4140;5;1;300;53;0,1865;179;9;0;0;1;0;0;0
4,5000;4320;5;2;0;53;0,1240;119;6;0;0;0;0;0;0
4,6250;4440;5;2;120;53;0,1240;119;6;0;0;0;0;0;0
4,7500;4560;5;2;240;53;0,4990;479;24;1;0;1;1;1;1
5,2500;5040;6;1;240;58;0,3740;359;18;0;0;0;0;0;0
5,6250;5400;6;2;120;53;0,1240;119;6;0;0;0;0;0;0
5,7500;5520;6;2;240;53;0,3740;359;18;1;0;1;0;0;0
6,1250;5880;7;1;120;53;0,1240;119;6;0;0;0;0;0;0
6,2500;6000;7;1;240;51;0,3740;359;18;1;1;1;0;0;0
6,6250;6360;7;2;120;51;0,1240;119;6;0;0;0;0;0;0
6,7500;6480;7;2;240;55;0,1656;159;8;0;0;0;0;0;0
6,9167;6640;7;2;400;53;0,1656;159;8;0;0;0;0;0;0
7,0833;6800;8;1;80;53;0,1656;159;8;0;0;0;0;0;0
7,2500;6960;8;1;240;53;0,3740;359;18;1;1;1;1;1;0
7,6250;7320;8;2;120;50;0,1240;119;6;0;0;0;0;0;0
7,7500;7440;8;2;240;53;0,3740;359;18;1;0;1;0;0;0
8,1250;7800;9;1;120;50;0,1240;119;6;0;0;0;0;0;0
8,2500;7920;9;1;240;53;0,0615;59;3;0;0;0;0;0;0
8,3125;7980;9;1;300;53;0,1865;179;9;0;0;1;0;0;0
8,5000;8160;9;2;0;53;0,1240;119;6;0;0;0;0;0;0
8,6250;8280;9;2;120;53;0,1240;119;6;0;0;0;0;0;0
8,7500;8400;9;2;240;53;0,9990;959;48;1;1;1;1;1;1
