Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,7500;720;0;2;240;66;0,2490;239;6;0;0;0;0;0;0
1,0000;960;1;1;0;71;0,3740;359;9;1;0;1;0;0;0
1,3750;1320;1;1;360;73;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;1;2;0;71;0,3740;359;9;1;1;1;1;0;0
1,8750;1800;1;2;360;66;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;1;0;66;0,4990;479;12;0;0;0;0;1;1
2,5000;2400;2;2;0;66;0,1656;159;4;1;0;1;0;0;0
2,6667;2560;2;2;160;63;0,1656;159;4;0;0;0;0;0;0
2,8333;2720;2;2;320;66;0,1656;159;4;0;0;1;0;0;0
3,0000;2880;3;1;0;71;0,3740;359;9;1;0;0;0;0;0
3,3750;3240;3;1;360;70;0,1240;119;3;0;0;0;0;0;0
3,5000;3360;3;2;0;71;0,7490;719;18;1;1;1;1;0;1
4,2500;4080;4;1;240;66;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;4;2;0;66;0,9990;959;24;1;0;1;0;1;1
5,5000;5280;5;2;0;68;0,1240;119;3;0;0;0;0;0;0
5,8750;5640;5;2;360;68;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;6;1;0;71;0,8740;839;21;1;0;1;0;0;1
6,8750;6600;6;2;360;73;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;7;1;0;71;0,3740;359;9;1;1;1;0;0;0
7,3750;7080;7;1;360;70;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;7;2;0;70;0,1240;119;3;0;0;1;0;0;0
7,6250;7320;7;2;120;68;0,3740;359;9;0;0;0;0;0;0
8,0000;7680;8;1;0;64;0,2490;239;6;1;0;1;1;1;0
8,3750;8040;8;1;360;68;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;8;2;0;70;0,3740;359;9;1;1;1;0;0;0
8,8750;8520;8;2;360;68;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;9;1;0;68;0,2490;239;6;0;0;1;0;0;0
9,2500;8880;9;1;240;64;0,7490;719;18;1;0;0;0;0;1
10,0000;9600;10;1;0;68;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;10;1;240;64;0,2490;239;6;0;0;0;0;0;0
10,5000;10080;10;2;0;63;0,4990;479;12;1;1;1;0;0;1
11,0000;10560;11;1;0;59;0,1240;119;3;0;0;0;0;0;0
11,1250;10680;11;1;120;59;1,3740;1319;33;0;0;0;0;1;1
12,5000;12000;12;2;0;59;1,4990;1439;36;0;0;0;0;0;1
14,0000;13440;14;1;0;63;0,2490;239;6;1;0;1;1;0;0
14,3750;13800;14;1;360;68;0,1240;119;3;0;0;0;0;0;0
14,5000;13920;14;2;0;68;0,1656;159;4;1;0;1;0;0;0
14,6667;14080;14;2;160;64;0,1656;159;4;0;0;0;0;0;0
14,8333;14240;14;2;320;68;0,1656;159;4;0;0;0;0;0;0
15,0000;14400;15;1;0;64;0,3740;359;9;1;0;1;0;0;0
15,3750;14760;15;1;360;63;0,1240;119;3;0;0;0;0;0;0
15,5000;14880;15;2;0;63;0,1656;159;4;1;1;1;0;0;0
15,6667;15040;15;2;160;64;0,1656;159;4;0;0;0;0;0;0
15,8333;15200;15;2;320;64;0,1656;159;4;1;0;0;0;0;0
16,0000;15360;16;1;0;63;0,4990;479;12;0;0;1;1;0;0
16,5000;15840;16;2;0;59;1,9990;1919;48;1;1;1;1;1;1
