Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,2490;239;2;0;0;0;0;0;0
0,2500;240;1;1;240;60;0,2490;239;2;0;0;0;0;0;0
0,5000;480;1;2;0;62;0,4990;479;4;0;0;0;0;0;1
1,0000;960;1;3;0;62;0,9990;959;8;1;1;1;1;1;1
2,0000;1920;2;2;0;60;0,2490;239;2;0;0;0;0;0;0
2,2500;2160;2;2;240;60;0,2490;239;2;0;0;1;0;0;0
2,5000;2400;2;3;0;64;0,3740;359;3;1;0;0;0;0;0
2,8750;2760;2;3;360;62;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;3;1;0;60;0,1240;119;1;0;0;0;0;0;0
3,1250;3000;3;1;120;60;0,3740;359;3;0;0;0;0;0;0
3,5000;3360;3;2;0;60;0,3740;359;3;1;0;1;0;0;0
3,8750;3720;3;2;360;57;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;3;3;0;55;0,4990;479;4;1;0;1;0;0;1
4,5000;4320;4;1;0;60;0,3740;359;3;0;0;0;0;0;0
4,8750;4680;4;1;360;57;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;4;2;0;60;0,4990;479;4;0;0;0;0;0;1
5,5000;5280;4;3;0;60;0,9990;959;8;1;1;1;1;1;1
6,5000;6240;5;2;0;57;0,2490;239;2;0;0;0;0;0;0
6,7500;6480;5;2;240;57;0,2490;239;2;0;0;0;0;0;0
7,0000;6720;5;3;0;60;0,3740;359;3;1;0;1;0;0;0
7,3750;7080;5;3;360;57;0,1240;119;1;0;0;0;0;0;0
7,5000;7200;6;1;0;55;0,1240;119;1;0;0;0;0;0;0
7,6250;7320;6;1;120;55;0,3740;359;3;0;0;0;0;0;0
8,0000;7680;6;2;0;55;0,3740;359;3;0;0;1;0;0;0
8,3750;8040;6;2;360;52;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;6;3;0;48;0,4990;479;4;1;1;1;0;0;1
9,0000;8640;7;1;0;55;0,3740;359;3;0;0;0;0;0;0
9,3750;9000;7;1;360;52;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;7;2;0;55;0,4990;479;4;0;0;0;0;0;1
10,0000;9600;7;3;0;55;1,2490;1199;10;1;1;1;1;1;1
11,2500;10800;8;2;240;52;0,1240;119;1;0;0;0;0;0;0
11,3750;10920;8;2;360;52;0,1240;119;1;0;0;1;0;0;0
11,5000;11040;8;3;0;57;0,3740;359;3;1;0;0;0;0;0
11,8750;11400;8;3;360;55;0,1240;119;1;0;0;0;0;0;0
12,0000;11520;9;1;0;53;0,1240;119;1;0;0;0;0;0;0
12,1250;11640;9;1;120;53;0,3740;359;3;0;0;0;0;0;0
12,5000;12000;9;2;0;53;0,3740;359;3;0;0;0;0;0;0
12,8750;12360;9;2;360;52;0,1240;119;1;1;1;1;0;0;0
13,0000;12480;9;3;0;48;0,4990;479;4;0;0;0;0;0;1
13,5000;12960;10;1;0;48;0,4990;479;4;1;0;0;0;1;1
14,0000;13440;10;2;0;48;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;10;2;240;48;0,2490;239;2;0;0;0;0;0;0
14,5000;13920;10;3;0;48;0,3740;359;3;1;1;1;1;0;0
14,8750;14280;10;3;360;60;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;11;1;0;60;0,1240;119;1;0;0;1;0;0;0
15,1250;14520;11;1;120;57;0,3740;359;3;1;0;0;0;0;0
15,5000;14880;11;2;0;57;0,1240;119;1;0;0;1;0;0;0
15,6250;15000;11;2;120;55;0,3740;359;3;1;0;0;0;0;0
16,0000;15360;11;3;0;55;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;11;3;240;55;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;12;1;0;55;0,9990;959;8;0;1;1;1;0;0
17,5000;16800;12;3;0;55;0,4990;479;4;1;1;1;1;1;1
