Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;56;0,9990;959;8;1;0;1;0;0;0
1,0000;960;2;1;0;56;0,4990;479;4;0;0;0;0;0;0
1,5000;1440;2;2;0;56;0,4990;479;4;0;0;1;0;0;0
2,0000;1920;3;1;0;53;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;3;2;0;53;0,4990;479;4;1;1;1;1;1;0
3,5000;3360;4;2;0;56;0,9990;959;8;0;0;0;0;0;1
4,5000;4320;5;2;0;56;0,2490;239;2;0;0;0;0;0;0
4,7500;4560;5;2;240;54;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;6;1;0;53;0,4990;479;4;1;0;1;0;0;0
5,5000;5280;6;2;0;49;0,4990;479;4;0;0;0;0;0;0
6,0000;5760;7;1;0;49;0,9990;959;8;1;1;1;1;0;1
7,0000;6720;8;1;0;53;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;8;1;240;52;0,2490;239;2;1;0;0;0;0;0
7,5000;7200;8;2;0;53;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;9;2;0;53;0,4990;479;4;0;0;1;0;0;0
9,0000;8640;10;1;0;49;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;10;2;0;49;0,4990;479;4;0;0;1;1;1;0
10,5000;10080;11;2;0;49;0,9990;959;8;1;0;0;0;0;1
11,5000;11040;12;2;0;49;0,4990;479;4;0;0;1;0;0;0
12,0000;11520;13;1;0;53;0,4990;479;4;0;0;0;0;0;0
12,5000;12000;13;2;0;49;0,4990;479;4;0;0;0;0;0;0
13,0000;12480;14;1;0;49;0,2490;239;2;1;0;1;1;0;0
13,5000;12960;14;2;0;53;0,2490;239;2;0;0;0;0;0;0
13,7500;13200;14;2;240;49;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;15;1;0;53;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;15;1;240;49;0,2490;239;2;0;0;1;0;0;0
14,5000;13920;15;2;0;56;0,2490;239;2;0;0;0;0;0;0
14,7500;14160;15;2;240;56;0,7490;719;6;1;1;1;1;1;0
15,5000;14880;16;2;0;51;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;16;2;240;53;0,3740;359;3;1;0;1;0;0;0
16,1250;15480;17;1;120;49;0,1240;119;1;0;0;0;0;0;0
16,2500;15600;17;1;240;53;0,7490;719;6;1;0;1;1;0;0
17,0000;16320;18;1;0;54;0,1240;119;1;0;0;0;0;0;0
17,1250;16440;18;1;120;53;0,1240;119;1;0;0;1;0;0;0
17,2500;16560;18;1;240;49;0,3740;359;3;1;0;0;0;0;0
17,6250;16920;18;2;120;49;0,1240;119;1;0;0;0;0;0;0
17,7500;17040;18;2;240;49;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;19;1;0;49;0,2490;239;2;0;0;0;0;0;0
18,2500;17520;19;1;240;49;0,7490;719;6;1;0;1;0;1;0
19,1250;18360;20;1;120;44;0,1240;119;1;0;0;0;0;0;0
19,2500;18480;20;1;240;49;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;20;2;0;49;0,2490;239;2;0;0;0;0;0;0
19,7500;18960;20;2;240;49;0,4990;479;4;1;1;1;1;1;0
20,7500;19920;21;2;240;56;0,4990;479;4;0;0;0;0;0;0
21,2500;20400;22;1;240;53;0,3740;359;3;0;0;0;0;0;0
21,6250;20760;22;2;120;53;0,1240;119;1;0;0;0;0;0;0
21,7500;20880;22;2;240;53;0,2490;239;2;0;0;1;0;0;0
22,0000;21120;23;1;0;52;0,2490;239;2;0;0;0;0;0;0
22,2500;21360;23;1;240;53;0,2490;239;2;0;0;0;0;0;0
22,5000;21600;23;2;0;54;0,2490;239;2;0;0;0;0;0;0
22,7500;21840;23;2;240;53;0,1240;119;1;1;0;1;0;0;0
22,8750;21960;23;2;360;49;0,2490;239;2;0;0;0;0;0;0
23,1250;22200;24;1;120;49;0,1240;119;1;0;0;0;0;0;0
23,2500;22320;24;1;240;49;0,2490;239;2;0;0;0;0;0;0
23,5000;22560;24;2;0;49;0,2490;239;2;0;0;0;0;0;0
23,7500;22800;24;2;240;49;0,8740;839;7;1;1;1;1;1;0
24,6250;23640;25;2;120;44;0,1240;119;1;0;0;0;0;0;0
24,7500;23760;25;2;240;49;0,2490;239;2;0;0;0;0;0;0
25,0000;24000;26;1;0;49;0,2490;239;2;0;0;0;0;0;0
25,2500;24240;26;1;240;49;0,7490;719;6;1;0;1;0;0;0
26,0000;24960;27;1;0;44;0,2490;239;2;0;0;0;0;0;0
26,2500;25200;27;1;240;49;0,2490;239;2;0;0;0;0;0;0
26,5000;25440;27;2;0;49;0,2490;239;2;0;0;0;0;0;0
26,7500;25680;27;2;240;49;0,4990;479;4;1;1;1;1;1;0
27,7500;26640;28;2;240;53;0,2490;239;2;0;0;0;0;0;0
28,0000;26880;29;1;0;52;0,2490;239;2;1;0;0;0;0;0
28,2500;27120;29;1;240;53;0,4990;479;4;0;0;0;0;0;0
28,7500;27600;29;2;240;53;0,4990;479;4;0;0;0;0;0;0
29,2500;28080;30;1;240;53;0,4990;479;4;0;0;1;0;0;0
29,7500;28560;30;2;240;49;0,4990;479;4;0;0;0;0;0;0
30,2500;29040;31;1;240;49;0,4990;479;4;0;0;1;1;1;0
31,2500;30000;32;1;240;49;0,9990;959;8;1;0;0;0;0;1
32,2500;30960;33;1;240;49;0,4990;479;4;0;0;1;0;0;0
32,7500;31440;33;2;240;53;0,4990;479;4;0;0;0;0;0;0
33,2500;31920;34;1;240;49;0,4990;479;4;0;0;0;0;0;0
33,7500;32400;34;2;240;49;0,2490;239;2;1;1;1;1;0;0
34,2500;32880;35;1;240;56;0,9990;959;8;0;0;0;0;0;1
35,2500;33840;36;1;240;56;0,4990;479;4;0;0;0;0;0;0
35,7500;34320;36;2;240;56;0,4990;479;4;0;0;1;0;0;0
36,2500;34800;37;1;240;53;0,4990;479;4;0;0;0;0;0;0
36,7500;35280;37;2;240;53;0,4990;479;4;1;0;1;1;1;0
37,7500;36240;38;2;240;56;0,9990;959;8;0;0;0;0;0;1
38,7500;37200;39;2;240;56;0,2490;239;2;0;0;0;0;0;0
39,0000;37440;40;1;0;54;0,2490;239;2;0;0;0;0;0;0
39,2500;37680;40;1;240;53;0,4990;479;4;1;0;1;0;0;0
39,7500;38160;40;2;240;49;0,4990;479;4;0;0;0;0;0;0
40,2500;38640;41;1;240;49;0,4990;479;4;1;1;1;1;1;0
41,2500;39600;42;1;240;53;0,2490;239;2;0;0;0;0;0;0
41,5000;39840;42;2;0;52;0,2490;239;2;1;0;0;0;0;0
41,7500;40080;42;2;240;53;0,4990;479;4;0;0;0;0;0;0
