Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,9990;959;12;1;0;1;0;0;0
1,0000;960;2;1;0;60;0,2490;239;3;0;0;0;0;0;0
1,2500;1200;2;1;240;60;0,2490;239;3;0;0;0;0;0;0
1,5000;1440;2;2;0;60;0,4990;479;6;1;1;1;0;0;0
2,0000;1920;3;1;0;57;0,2490;239;3;0;0;0;0;0;0
2,2500;2160;3;1;240;55;0,4990;479;6;0;0;1;1;1;0
3,0000;2880;4;1;0;60;0,7490;719;9;1;0;0;0;0;0
3,7500;3600;4;2;240;55;0,2490;239;3;0;0;0;0;0;0
4,0000;3840;5;1;0;55;0,4990;479;6;1;1;0;0;0;0
4,5000;4320;5;2;0;53;0,2490;239;3;0;0;1;0;0;0
4,7500;4560;5;2;240;50;0,2490;239;3;0;0;0;0;0;0
5,0000;4800;6;1;0;50;0,4990;479;6;1;0;1;0;0;0
5,5000;5280;6;2;0;55;0,4990;479;6;0;0;0;0;0;0
6,0000;5760;7;1;0;53;0,4990;479;6;0;0;0;0;0;0
6,5000;6240;7;2;0;50;0,4990;479;6;0;0;0;0;0;0
7,0000;6720;8;1;0;53;0,7490;719;9;1;1;0;0;0;0
7,7500;7440;8;2;240;50;0,2490;239;3;0;0;0;0;0;0
8,0000;7680;9;1;0;53;0,4990;479;6;1;0;1;1;1;0
9,0000;8640;10;1;0;60;0,9990;959;12;0;0;0;0;0;1
10,0000;9600;11;1;0;60;0,2490;239;3;0;0;0;0;0;0
10,2500;9840;11;1;240;60;0,2490;239;3;0;0;0;0;0;0
10,5000;10080;11;2;0;60;0,4990;479;6;1;1;1;0;0;0
11,0000;10560;12;1;0;57;0,2490;239;3;0;0;0;0;0;0
11,2500;10800;12;1;240;55;0,4990;479;6;0;0;1;1;1;0
12,0000;11520;13;1;0;60;0,7490;719;9;1;0;0;0;0;0
12,7500;12240;13;2;240;55;0,2490;239;3;0;0;0;0;0;0
13,0000;12480;14;1;0;55;0,4990;479;6;1;1;0;0;0;0
13,5000;12960;14;2;0;53;0,2490;239;3;0;0;1;0;0;0
13,7500;13200;14;2;240;50;0,2490;239;3;0;0;0;0;0;0
14,0000;13440;15;1;0;50;0,4990;479;6;1;0;1;0;0;0
14,5000;13920;15;2;0;55;0,4990;479;6;0;0;0;0;0;0
15,0000;14400;16;1;0;53;0,4990;479;6;0;0;0;0;0;0
15,5000;14880;16;2;0;50;0,4990;479;6;0;0;0;0;0;0
16,0000;15360;17;1;0;53;1,4990;1439;18;1;1;1;1;1;1
17,7500;17040;18;2;240;57;0,2490;239;3;0;0;0;0;0;0
18,0000;17280;19;1;0;57;0,7490;719;9;1;0;1;0;0;0
18,7500;18000;19;2;240;55;0,2490;239;3;0;0;0;0;0;0
19,0000;18240;20;1;0;57;0,7490;719;9;1;0;1;0;0;0
19,7500;18960;20;2;240;55;0,2490;239;3;0;0;0;0;0;0
20,0000;19200;21;1;0;57;0,4990;479;6;0;0;0;0;0;0
20,5000;19680;21;2;0;55;0,4990;479;6;1;0;0;0;0;0
21,0000;20160;22;1;0;53;0,2490;239;3;0;0;1;0;0;0
21,2500;20400;22;1;240;50;0,2490;239;3;0;0;0;0;0;0
21,5000;20640;22;2;0;50;0,2490;239;3;1;1;1;1;1;0
22,0000;21120;23;1;0;55;0,7490;719;9;0;0;0;0;0;0
22,7500;21840;23;2;240;53;0,2490;239;3;0;0;0;0;0;0
23,0000;22080;24;1;0;55;0,4990;479;6;0;0;0;0;0;0
23,5000;22560;24;2;0;53;0,4990;479;6;1;0;0;0;0;0
24,0000;23040;25;1;0;50;0,2490;239;3;0;0;1;0;0;0
24,2500;23280;25;1;240;48;0,2490;239;3;0;0;0;0;0;0
24,5000;23520;25;2;0;48;0,2490;239;3;1;1;1;1;1;0
25,5000;24480;26;2;0;50;0,1656;159;2;0;0;0;0;0;0
25,6667;24640;26;2;160;48;0,1656;159;2;1;0;0;0;0;0
25,8333;24800;26;2;320;48;0,1656;159;2;0;0;0;0;0;0
26,0000;24960;27;1;0;48;0,9990;959;12;1;0;1;0;1;1
27,5000;26400;28;2;0;48;0,1656;159;2;0;0;0;0;0;0
27,6667;26560;28;2;160;48;0,1656;159;2;0;0;0;0;0;0
27,8333;26720;28;2;320;48;0,1656;159;2;0;0;0;0;0;0
28,0000;26880;29;1;0;48;0,9990;959;12;1;1;1;0;0;1
29,0000;27840;30;1;0;53;0,2490;239;3;0;0;0;0;0;0
29,2500;28080;30;1;240;50;0,2490;239;3;1;0;1;0;0;0
29,5000;28320;30;2;0;55;0,4990;479;6;0;0;0;0;0;0
30,0000;28800;31;1;0;53;0,4990;479;6;0;0;0;0;0;0
30,5000;29280;31;2;0;50;0,4990;479;6;0;0;0;0;0;0
31,0000;29760;32;1;0;53;0,7490;719;9;1;1;1;0;0;0
31,7500;30480;32;2;240;50;0,2490;239;3;0;0;0;0;0;0
32,0000;30720;33;1;0;53;0,4990;479;6;0;0;1;1;0;0
33,5000;32160;34;2;0;48;0,4990;479;6;1;1;1;1;1;1
