Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
1,2500;1200;0;3;240;53;0,2490;239;2;0;0;0;0;0;0
1,5000;1440;1;1;0;53;0,4990;479;4;1;0;1;0;0;0
2,0000;1920;1;2;0;55;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;1;3;0;55;0,4990;479;4;0;0;0;0;0;0
3,0000;2880;2;1;0;55;1,4990;1439;12;1;1;1;0;1;1
4,5000;4320;3;1;0;53;0,2490;239;2;0;0;0;0;0;0
5,0000;4800;3;2;0;55;0,4990;479;4;0;0;0;0;0;0
5,5000;5280;3;3;0;55;1,4990;1439;12;1;0;1;1;0;1
7,0000;6720;4;3;0;53;0,2490;239;2;0;0;0;0;0;0
7,2500;6960;4;3;240;51;0,2490;239;2;0;0;1;0;0;0
7,5000;7200;5;1;0;53;0,4990;479;4;0;0;0;0;0;0
8,0000;7680;5;2;0;53;0,4990;479;4;1;1;1;1;0;0
9,0000;8640;6;1;0;53;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;6;2;0;55;0,4990;479;4;0;0;0;0;0;0
10,0000;9600;6;3;0;55;1,4990;1439;12;1;0;1;0;1;1
11,5000;11040;7;3;0;53;0,7490;719;6;0;0;0;0;0;0
12,5000;12000;8;2;0;55;0,2490;239;2;0;0;0;0;0;0
12,7500;12240;8;2;240;53;0,2490;239;2;0;0;0;0;0;0
13,0000;12480;8;3;0;53;0,9990;959;8;1;0;0;0;0;1
14,0000;13440;9;2;0;53;0,2490;239;2;0;0;1;0;0;0
14,5000;13920;9;3;0;53;0,4990;479;4;0;0;0;0;0;0
15,0000;14400;10;1;0;53;0,9990;959;8;1;1;1;1;0;1
16,0000;15360;10;3;0;55;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;10;3;240;53;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;11;1;0;51;0,2490;239;2;0;0;0;0;0;0
16,7500;16080;11;1;240;53;0,7490;719;6;1;0;1;0;1;0
17,5000;16800;11;3;0;55;0,2490;239;2;0;0;0;0;0;0
17,7500;17040;11;3;240;53;0,2490;239;2;0;0;0;0;0;0
18,0000;17280;12;1;0;51;0,2490;239;2;0;0;1;1;0;0
18,2500;17520;12;1;240;53;0,2490;239;2;0;0;0;0;0;0
18,5000;17760;12;2;0;53;0,7490;719;6;1;1;1;0;0;0
19,2500;18480;12;3;240;53;0,2490;239;2;0;0;0;0;0;0
19,5000;18720;13;1;0;53;0,2490;239;2;0;0;0;0;0;0
19,7500;18960;13;1;240;53;0,1240;119;1;1;0;1;0;0;0
