Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;51;0,4365;419;10;0;0;1;0;0;0
0,4375;420;1;1;420;58;0,0615;59;1;0;0;0;0;0;0
0,5000;480;1;2;0;58;0,3740;359;9;1;1;1;1;0;0
0,8750;840;1;2;360;54;0,1240;119;3;0;0;0;0;0;0
1,0000;960;2;1;0;54;0,3740;359;9;1;1;1;0;0;0
1,3750;1320;2;1;360;53;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;53;0,1240;119;3;0;0;1;0;0;0
1,6250;1560;2;2;120;51;0,1240;119;3;0;0;0;0;0;0
1,7500;1680;2;2;240;51;0,2490;239;6;0;0;0;0;1;0
2,0000;1920;3;1;0;51;0,2490;239;6;1;0;1;0;0;0
2,2500;2160;3;1;240;53;0,1240;119;3;0;0;0;0;0;0
2,3750;2280;3;1;360;51;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;51;0,2490;239;6;0;0;0;0;0;0
2,7500;2640;3;2;240;51;0,3740;359;9;1;1;1;0;0;0
3,1250;3000;4;1;120;47;0,1240;119;3;0;0;0;0;0;0
3,2500;3120;4;1;240;51;0,1656;159;4;1;0;0;0;0;0
3,4167;3280;4;1;400;51;0,1656;159;4;0;0;0;0;0;0
3,5833;3440;4;2;80;51;0,1656;159;4;0;0;0;0;0;0
3,7500;3600;4;2;240;51;0,4990;479;12;0;0;0;0;0;0
4,2500;4080;5;1;240;51;0,2490;239;6;1;0;1;1;1;0
4,7500;4560;5;2;240;51;0,1240;119;3;0;0;0;0;0;0
4,8750;4680;5;2;360;51;0,1240;119;3;1;1;1;0;0;0
5,0000;4800;6;1;0;54;0,1656;159;4;0;0;0;0;0;0
5,1667;4960;6;1;160;53;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;6;1;320;53;0,1656;159;4;0;0;0;0;0;0
5,5000;5280;6;2;0;53;0,1656;159;4;0;0;0;0;0;0
5,6667;5440;6;2;160;51;0,1656;159;4;0;1;0;0;0;0
5,8333;5600;6;2;320;53;0,1656;159;4;0;1;0;0;0;0
6,0000;5760;7;1;0;53;0,1656;159;4;0;0;1;1;0;0
6,1667;5920;7;1;160;51;0,1656;159;4;0;0;0;0;0;0
6,3333;6080;7;1;320;51;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;7;2;0;51;0,3740;359;9;1;0;1;0;0;0
6,8750;6600;7;2;360;51;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;51;0,2490;239;6;1;1;1;1;1;0
7,7500;7440;8;2;240;51;0,4990;479;12;0;0;0;0;0;0
8,2500;7920;9;1;240;53;0,1656;159;4;1;1;0;0;0;0
8,4167;8080;9;1;400;51;0,1656;159;4;0;0;0;0;0;0
8,5833;8240;9;2;80;51;0,1656;159;4;0;0;0;0;0;0
8,7500;8400;9;2;240;51;0,1656;159;4;1;0;0;1;0;0
8,9167;8560;9;2;400;51;0,1656;159;4;0;0;0;1;0;0
9,0833;8720;10;1;80;51;0,1656;159;4;0;0;0;0;0;0
9,2500;8880;10;1;240;51;0,1656;159;4;1;1;0;0;0;0
9,4167;9040;10;1;400;51;0,1656;159;4;0;0;0;0;0;0
9,5833;9200;10;2;80;47;0,1656;159;4;0;0;1;0;0;0
9,7500;9360;10;2;240;51;0,3740;359;9;1;0;0;0;1;0
10,1250;9720;11;1;120;51;0,1240;119;3;0;0;0;0;0;0
10,2500;9840;11;1;240;51;0,3740;359;9;1;1;1;1;0;0
10,6250;10200;11;2;120;47;0,1240;119;3;0;0;0;0;0;0
10,7500;10320;11;2;240;51;0,4990;479;12;1;0;1;0;0;0
11,2500;10800;12;1;240;51;0,1656;159;4;0;0;0;0;0;0
11,4167;10960;12;1;400;51;0,1656;159;4;0;0;0;0;0;0
11,5833;11120;12;2;80;51;0,1656;159;4;0;0;0;0;0;0
11,7500;11280;12;2;240;51;0,4990;479;12;1;1;1;1;1;1
