Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;64;0,1240;119;1;0;0;0;0;0;0
0,1250;120;1;1;120;64;0,3740;359;3;0;0;0;1;0;0
0,5000;480;1;2;0;64;0,3740;359;3;0;0;0;0;0;0
0,8750;840;1;2;360;64;0,1240;119;1;0;0;0;0;0;0
1,0000;960;2;1;0;64;0,4990;479;4;1;1;1;1;0;1
1,5000;1440;2;2;0;59;0,4990;479;4;0;0;0;0;1;1
2,0000;1920;3;1;0;59;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;3;1;120;59;0,3740;359;3;0;0;0;0;0;0
2,5000;2400;3;2;0;59;0,3740;359;3;0;0;0;0;0;0
2,8750;2760;3;2;360;59;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;4;1;0;59;0,4990;479;4;0;0;0;0;0;1
3,5000;3360;4;2;0;52;0,4990;479;4;1;1;1;1;0;1
4,0000;3840;5;1;0;64;0,1240;119;1;0;0;0;0;0;0
4,1250;3960;5;1;120;64;0,3740;359;3;0;0;0;0;0;0
4,5000;4320;5;2;0;64;0,3740;359;3;0;0;0;0;0;0
4,8750;4680;5;2;360;64;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;6;1;0;64;0,4990;479;4;1;0;1;1;0;1
5,5000;5280;6;2;0;59;0,4990;479;4;0;0;0;0;1;1
6,0000;5760;7;1;0;59;0,1240;119;1;0;0;0;0;0;0
6,1250;5880;7;1;120;59;0,3740;359;3;0;0;0;0;0;0
6,5000;6240;7;2;0;59;0,3740;359;3;0;1;1;0;0;0
6,8750;6600;7;2;360;64;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;8;1;0;59;0,4990;479;4;0;0;1;0;0;1
7,5000;7200;8;2;0;57;0,4990;479;4;0;0;0;0;0;1
8,0000;7680;9;1;0;59;0,1240;119;1;1;1;1;1;0;0
8,1250;7800;9;1;120;55;0,3740;359;3;0;0;0;0;0;0
8,5000;8160;9;2;0;55;0,3740;359;3;0;0;0;0;0;0
8,8750;8520;9;2;360;55;0,1240;119;1;0;0;0;0;0;0
9,0000;8640;10;1;0;55;0,4990;479;4;0;0;0;0;0;1
9,5000;9120;10;2;0;55;0,2490;239;2;1;1;1;1;1;0
10,0000;9600;11;1;0;59;0,1240;119;1;0;0;0;0;0;0
10,1250;9720;11;1;120;52;0,2490;239;2;0;0;1;0;0;0
10,3750;9960;11;1;360;55;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;11;2;0;55;0,2490;239;2;1;0;1;0;0;0
10,7500;10320;11;2;240;59;0,1240;119;1;0;0;0;0;0;0
10,8750;10440;11;2;360;55;0,1240;119;1;0;0;0;0;0;0
11,0000;10560;12;1;0;52;0,3740;359;3;1;1;1;0;0;0
11,3750;10920;12;1;360;52;0,1240;119;1;0;0;0;0;0;0
11,5000;11040;12;2;0;52;0,4990;479;4;1;0;1;0;0;1
12,0000;11520;13;1;0;52;0,3740;359;3;0;0;0;0;0;0
12,3750;11880;13;1;360;52;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;13;2;0;52;0,9990;959;8;0;1;0;0;1;1
13,5000;12960;14;2;0;52;0,2490;239;2;0;0;1;1;0;0
14,0000;13440;15;1;0;52;0,2490;239;2;0;0;0;0;0;0
14,2500;13680;15;1;240;52;0,2490;239;2;0;0;1;0;0;0
14,5000;13920;15;2;0;59;0,3740;359;3;1;1;0;0;0;0
14,8750;14280;15;2;360;59;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;16;1;0;59;0,2490;239;2;0;0;1;0;0;0
15,2500;14640;16;1;240;57;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;16;2;0;55;0,4990;479;4;1;0;1;1;0;1
16,0000;15360;17;1;0;59;0,4990;479;4;0;0;0;0;0;1
16,5000;15840;17;2;0;55;0,4990;479;4;0;0;1;0;0;1
17,0000;16320;18;1;0;52;0,4990;479;4;0;0;0;0;1;1
17,5000;16800;18;2;0;52;0,2490;239;2;1;0;1;1;0;0
18,0000;17280;19;1;0;55;0,1240;119;1;0;0;0;0;0;0
18,1250;17400;19;1;120;52;0,3740;359;3;1;1;1;0;0;0
18,5000;17760;19;2;0;59;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;19;2;240;57;0,2490;239;2;0;0;0;0;0;0
19,0000;18240;20;1;0;55;0,4990;479;4;1;0;1;0;0;1
19,5000;18720;20;2;0;52;0,4990;479;4;0;0;0;0;0;1
20,0000;19200;21;1;0;52;0,3740;359;3;1;0;1;0;0;0
20,3750;19560;21;1;360;52;0,1240;119;1;0;0;0;0;0;0
20,5000;19680;21;2;0;52;0,9990;959;8;0;0;1;1;0;0
21,5000;20640;22;2;0;52;0,2490;239;2;1;1;1;1;1;1
