Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;60;0,1240;119;1;0;0;1;1;0;0
0,1250;120;1;1;120;55;0,3740;359;3;1;1;0;0;0;0
0,5000;480;1;2;0;55;0,2490;239;2;0;0;1;0;0;0
0,7500;720;1;2;240;57;0,2490;239;2;0;0;0;0;0;0
1,0000;960;1;3;0;55;0,9990;959;8;1;0;1;1;1;1
2,0000;1920;2;2;0;53;0,1240;119;1;0;0;0;0;0;0
2,1250;2040;2;2;120;50;0,3740;359;3;1;0;1;0;0;0
2,5000;2400;2;3;0;53;0,2490;239;2;0;0;0;0;0;0
2,7500;2640;2;3;240;53;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;3;1;0;53;0,4990;479;4;1;1;1;1;0;0
3,5000;3360;3;2;0;57;0,1240;119;1;0;0;0;0;0;0
3,6250;3480;3;2;120;55;0,3740;359;3;1;0;0;0;0;0
4,0000;3840;3;3;0;55;0,2490;239;2;0;0;1;0;0;0
4,2500;4080;3;3;240;57;0,2490;239;2;0;0;0;0;0;0
4,5000;4320;4;1;0;55;0,4990;479;4;1;0;1;1;1;0
5,5000;5280;4;3;0;53;0,1240;119;1;0;0;0;0;0;0
5,6250;5400;4;3;120;50;0,3740;359;3;1;0;1;0;0;0
6,0000;5760;5;1;0;53;0,2490;239;2;0;0;0;0;0;0
6,2500;6000;5;1;240;53;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;5;2;0;53;0,4990;479;4;1;1;1;1;0;0
7,0000;6720;5;3;0;60;0,1240;119;1;0;0;0;0;0;0
7,1250;6840;5;3;120;55;0,3740;359;3;1;0;0;0;0;0
7,5000;7200;6;1;0;55;0,2490;239;2;0;0;1;0;0;0
7,7500;7440;6;1;240;57;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;6;2;0;55;0,9990;959;8;1;0;1;1;1;1
9,0000;8640;7;1;0;53;0,1240;119;1;0;0;0;0;0;0
9,1250;8760;7;1;120;50;0,3740;359;3;1;1;1;0;0;0
9,5000;9120;7;2;0;53;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;7;2;240;53;0,2490;239;2;0;0;0;0;0;0
10,0000;9600;7;3;0;53;0,4990;479;4;1;1;1;1;1;1
