Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;51;0,4990;479;6;0;0;1;1;0;0
0,5000;480;1;2;0;60;0,1656;159;2;1;1;0;0;0;0
0,6667;640;1;2;160;60;0,1656;159;2;0;0;0;0;0;0
0,8333;800;1;2;320;60;0,1656;159;2;0;0;0;0;0;0
1,0000;960;2;1;0;60;0,4990;479;6;0;0;1;0;0;0
1,5000;1440;2;2;0;56;0,4990;479;6;0;0;0;0;0;0
2,0000;1920;3;1;0;58;0,1656;159;2;1;1;0;0;0;0
2,1667;2080;3;1;160;58;0,1656;159;2;0;0;0;0;0;0
2,3333;2240;3;1;320;58;0,1656;159;2;0;0;0;0;0;0
2,5000;2400;3;2;0;58;0,4990;479;6;0;0;1;0;1;0
3,0000;2880;4;1;0;56;0,4990;479;6;1;1;0;0;0;0
3,5000;3360;4;2;0;53;0,2490;239;3;0;0;1;0;0;0
3,7500;3600;4;2;240;51;0,2490;239;3;0;0;0;0;0;0
4,0000;3840;5;1;0;51;0,4990;479;6;0;0;0;0;0;0
4,5000;4320;5;2;0;51;0,4990;479;6;1;0;1;1;0;0
5,0000;4800;6;1;0;56;0,1656;159;2;0;0;0;0;0;0
5,1667;4960;6;1;160;56;0,1656;159;2;0;0;0;0;0;0
5,3333;5120;6;1;320;56;0,1656;159;2;1;1;1;0;0;0
5,5000;5280;6;2;0;53;0,4990;479;6;0;0;0;0;1;0
6,0000;5760;7;1;0;51;0,4990;479;6;1;0;0;0;0;0
6,5000;6240;7;2;0;53;0,2490;239;3;0;0;1;0;0;0
6,7500;6480;7;2;240;51;0,2490;239;3;0;0;0;0;0;0
7,0000;6720;8;1;0;51;0,2490;239;3;0;0;0;0;0;0
7,2500;6960;8;1;240;51;0,2490;239;3;0;0;0;0;0;0
7,5000;7200;8;2;0;51;0,2490;239;3;0;0;0;0;0;0
7,7500;7440;8;2;240;51;0,4990;479;6;0;0;0;0;0;0
8,2500;7920;9;1;240;51;0,4990;479;6;1;1;1;1;1;0
9,2500;8880;10;1;240;51;0,2490;239;3;0;0;0;0;0;0
9,5000;9120;10;2;0;51;0,2490;239;3;0;0;1;0;0;0
9,7500;9360;10;2;240;56;0,4990;479;6;1;0;0;0;0;0
10,2500;9840;11;1;240;53;0,1240;119;1;0;0;1;0;0;0
10,5000;10080;11;2;0;56;0,2490;239;3;0;0;0;0;0;0
10,7500;10320;11;2;240;56;0,4990;479;6;1;1;1;1;0;0
11,2500;10800;12;1;240;51;0,2490;239;3;0;0;0;0;0;0
11,5000;11040;12;2;0;51;0,2490;239;3;0;0;0;0;0;0
11,7500;11280;12;2;240;51;0,2490;239;3;0;0;0;0;0;0
12,0000;11520;13;1;0;51;0,2490;239;3;0;0;0;0;0;0
12,2500;11760;13;1;240;51;0,2490;239;3;0;0;0;0;0;0
12,5000;12000;13;2;0;51;0,4990;479;6;0;0;0;0;0;0
13,0000;12480;14;1;0;48;0,2490;239;3;1;1;1;1;1;0
13,5000;12960;14;2;0;51;0,2490;239;3;0;0;0;0;0;0
13,7500;13200;14;2;240;51;0,2490;239;3;0;0;0;0;0;0
14,0000;13440;15;1;0;53;0,2490;239;3;0;0;0;1;0;0
14,2500;13680;15;1;240;51;0,2490;239;3;0;1;0;0;0;0
14,5000;13920;15;2;0;51;0,2490;239;3;0;1;0;1;0;0
14,7500;14160;15;2;240;53;0,2490;239;3;0;0;0;1;0;0
15,0000;14400;16;1;0;51;0,2490;239;3;0;0;0;0;0;0
15,2500;14640;16;1;240;51;0,2490;239;3;0;0;0;0;0;0
15,5000;14880;16;2;0;51;0,2490;239;3;0;0;1;0;0;0
15,7500;15120;16;2;240;51;0,1656;159;2;1;0;0;0;0;0
15,9167;15280;16;2;400;51;0,1656;159;2;0;0;0;0;0;0
16,0833;15440;17;1;80;51;0,1656;159;2;0;0;0;0;0;0
16,2500;15600;17;1;240;51;0,4990;479;6;1;1;1;1;1;0
16,7500;16080;17;2;240;48;0,1240;119;1;0;0;0;0;0;0
17,0000;16320;18;1;0;51;0,2490;239;3;0;0;0;0;0;0
17,2500;16560;18;1;240;51;0,1656;159;2;0;0;0;0;0;0
17,4167;16720;18;1;400;51;0,1656;159;2;0;0;0;0;0;0
17,5833;16880;18;2;80;51;0,1656;159;2;0;0;0;0;0;0
17,7500;17040;18;2;240;51;0,2490;239;3;0;0;0;0;0;0
18,0000;17280;19;1;0;51;0,2490;239;3;0;0;0;0;0;0
18,2500;17520;19;1;240;51;0,4990;479;6;1;1;1;0;1;0
18,7500;18000;19;2;240;48;0,1240;119;1;0;0;0;0;0;0
19,0000;18240;20;1;0;51;0,2490;239;3;0;0;0;0;0;0
19,2500;18480;20;1;240;51;0,1656;159;2;0;0;0;0;0;0
19,4167;18640;20;1;400;51;0,1656;159;2;0;0;0;0;0;0
19,5833;18800;20;2;80;51;0,1656;159;2;0;0;0;0;0;0
19,7500;18960;20;2;240;51;0,4990;479;6;1;1;1;0;0;0
20,2500;19440;21;1;240;51;0,2490;239;3;0;0;0;0;0;0
20,5000;19680;21;2;0;51;0,2490;239;3;0;0;0;0;0;0
20,7500;19920;21;2;240;51;0,4990;479;6;1;1;1;1;1;1
