Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;57;0,4990;479;4;0;0;0;0;0;0
1,0000;960;1;3;0;62;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;1;3;120;57;0,8740;839;7;1;1;1;1;0;0
2,0000;1920;2;2;0;54;0,4990;479;4;0;0;0;0;0;0
2,5000;2400;2;3;0;57;0,9990;959;8;1;1;1;0;0;1
3,5000;3360;3;2;0;54;0,2490;239;2;0;0;0;0;0;0
3,7500;3600;3;2;240;50;0,2490;239;2;1;0;1;0;0;0
4,0000;3840;3;3;0;57;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;4;1;0;54;0,4990;479;4;0;0;1;1;0;0
5,0000;4800;4;2;0;50;1,9990;1919;16;1;1;0;0;1;1
7,0000;6720;5;3;0;50;0,4990;479;4;0;0;0;0;0;0
7,5000;7200;6;1;0;54;0,2490;239;2;0;0;1;0;0;0
8,0000;7680;6;2;0;50;0,4990;479;4;0;0;0;0;0;0
8,5000;8160;6;3;0;54;0,2490;239;2;1;1;1;1;0;0
9,0000;8640;7;1;0;54;0,2490;239;2;0;0;0;0;0;0
9,2500;8880;7;1;240;52;0,2490;239;2;0;0;0;0;0;0
9,5000;9120;7;2;0;54;0,2490;239;2;0;0;0;0;0;0
9,7500;9360;7;2;240;50;0,2490;239;2;1;0;1;0;0;0
10,0000;9600;7;3;0;57;0,4990;479;4;0;0;0;0;0;0
10,5000;10080;8;1;0;54;0,4990;479;4;0;0;1;1;0;0
11,0000;10560;8;2;0;50;1,9990;1919;16;1;1;0;0;1;1
13,0000;12480;9;3;0;50;0,4990;479;4;0;0;0;0;0;0
13,5000;12960;10;1;0;54;0,2490;239;2;0;0;1;0;0;0
14,0000;13440;10;2;0;50;0,4990;479;4;0;0;0;0;0;0
14,5000;13920;10;3;0;54;0,2490;239;2;1;1;1;1;0;0
15,0000;14400;11;1;0;54;0,2490;239;2;0;0;0;0;0;0
15,2500;14640;11;1;240;52;0,2490;239;2;0;0;0;0;0;0
15,5000;14880;11;2;0;54;0,2490;239;2;0;0;0;0;0;0
15,7500;15120;11;2;240;52;0,2490;239;2;0;0;0;0;0;0
16,0000;15360;11;3;0;54;0,2490;239;2;1;0;1;0;0;0
16,2500;15600;11;3;240;50;0,2490;239;2;1;1;1;1;1;1
