Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;62;1,2490;1199;30;0;0;0;0;0;0
1,2500;1200;2;1;240;58;0,1240;119;3;0;0;1;0;0;0
1,5000;1440;2;2;0;62;0,3740;359;9;1;1;0;0;0;0
1,8750;1800;2;2;360;60;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;60;0,9990;959;24;1;1;1;1;0;1
3,0000;2880;4;1;0;57;0,4990;479;12;0;0;0;0;0;0
3,5000;3360;4;2;0;60;0,2490;239;6;0;0;1;0;1;0
4,0000;3840;5;1;0;62;0,3740;359;9;1;0;0;0;0;0
4,3750;4200;5;1;360;60;0,1240;119;3;0;0;0;0;0;0
4,5000;4320;5;2;0;60;0,3740;359;9;1;0;1;0;0;0
4,8750;4680;5;2;360;60;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;6;1;0;60;0,3740;359;9;1;1;1;1;0;0
5,3750;5160;6;1;360;57;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;57;0,3740;359;9;1;0;1;0;0;0
5,8750;5640;6;2;360;57;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;57;0,4990;479;12;0;0;0;0;0;0
6,5000;6240;7;2;0;57;0,2490;239;6;0;0;0;0;1;0
7,0000;6720;8;1;0;53;0,2490;239;6;1;0;1;1;0;0
7,5000;7200;8;2;0;60;0,3740;359;9;0;0;0;0;0;0
7,8750;7560;8;2;360;60;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;9;1;0;60;1,4990;1439;36;0;0;1;0;0;1
9,5000;9120;10;2;0;60;0,1656;159;4;1;1;0;0;0;0
9,6667;9280;10;2;160;57;0,1656;159;4;0;0;0;0;0;0
9,8333;9440;10;2;320;57;0,1656;159;4;0;0;0;0;0;0
10,0000;9600;11;1;0;57;1,4990;1439;36;1;0;1;1;1;1
12,0000;11520;13;1;0;57;0,4990;479;12;0;0;0;0;0;0
12,5000;12000;13;2;0;60;0,3740;359;9;0;0;0;0;0;0
12,8750;12360;13;2;360;60;0,1240;119;3;0;0;1;0;0;0
13,0000;12480;14;1;0;62;0,2490;239;6;0;0;0;0;0;0
13,2500;12720;14;1;240;60;0,2490;239;6;0;0;0;0;0;0
13,5000;12960;14;2;0;60;0,1656;159;4;1;1;1;0;0;0
13,6667;13120;14;2;160;57;0,1656;159;4;0;0;0;0;0;0
13,8333;13280;14;2;320;57;0,1656;159;4;0;0;0;0;0;0
14,0000;13440;15;1;0;57;0,4990;479;12;0;0;0;0;0;0
14,5000;13920;15;2;0;57;0,2490;239;6;1;0;1;1;1;0
15,0000;14400;16;1;0;53;0,2490;239;6;0;0;0;0;0;0
15,2500;14640;16;1;240;57;0,2490;239;6;0;0;0;0;0;0
15,5000;14880;16;2;0;57;0,3740;359;9;1;1;1;0;0;0
15,8750;15240;16;2;360;57;0,1240;119;3;0;0;0;0;0;0
16,0000;15360;17;1;0;57;1,4990;1439;36;1;0;1;1;0;1
17,5000;16800;18;2;0;57;0,2490;239;6;0;0;0;0;0;0
17,7500;17040;18;2;240;57;0,2490;239;6;0;0;1;0;0;0
18,0000;17280;19;1;0;53;2,4990;2399;60;1;1;1;1;1;1
