Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;62;0,1240;119;6;0;0;0;0;0;0
1,0000;960;0;3;0;60;0,3740;359;18;1;0;1;0;0;0
1,3750;1320;0;3;360;62;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;1;1;0;62;0,3740;359;18;1;1;1;0;0;0
1,8750;1800;1;1;360;60;0,1240;119;6;0;0;0;0;0;0
2,0000;1920;1;2;0;60;0,7490;719;36;1;0;1;1;1;1
2,7500;2640;1;3;240;60;0,2490;239;12;0;0;0;0;0;0
3,0000;2880;2;1;0;60;0,1240;119;6;0;0;1;0;0;0
3,1250;3000;2;1;120;58;0,1865;179;9;0;0;0;0;0;0
3,3125;3180;2;1;300;57;0,0615;59;3;1;0;1;1;0;0
3,4375;3300;2;1;420;60;0,0615;59;3;0;0;0;0;0;0
3,5000;3360;2;2;0;60;0,3740;359;18;1;1;1;0;0;0
3,8750;3720;2;2;360;58;0,1240;119;6;0;0;0;0;0;0
4,0000;3840;2;3;0;57;0,3740;359;18;1;1;1;1;1;0
4,3750;4200;2;3;360;53;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;3;1;0;53;0,1656;159;8;0;0;0;0;0;0
4,6667;4480;3;1;160;53;0,1656;159;8;0;0;0;0;0;0
4,8333;4640;3;1;320;53;0,1656;159;8;0;0;0;0;0;0
5,0000;4800;3;2;0;53;0,3740;359;18;1;1;1;0;0;0
5,3750;5160;3;2;360;53;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;3;3;0;53;0,3740;359;18;1;1;1;0;0;0
5,8750;5640;3;3;360;53;0,1240;119;6;0;0;0;0;0;0
6,0000;5760;4;1;0;53;0,4990;479;24;1;1;1;1;1;1
6,7500;6480;4;2;240;53;0,1240;119;6;0;0;0;0;0;0
6,8750;6600;4;2;360;53;0,1240;119;6;0;0;0;0;0;0
7,0000;6720;4;3;0;53;0,4990;479;24;1;0;1;0;1;1
7,7500;7440;5;1;240;53;0,2490;239;12;0;0;0;0;0;0
8,0000;7680;5;2;0;53;0,4990;479;24;0;1;1;0;0;1
8,5000;8160;5;3;0;57;0,1656;159;8;0;0;0;0;0;0
8,6667;8320;5;3;160;53;0,1656;159;8;0;0;0;0;0;0
8,8333;8480;5;3;320;53;0,1656;159;8;0;0;0;0;0;0
9,0000;8640;6;1;0;53;0,3740;359;18;1;1;1;0;0;0
9,3750;9000;6;1;360;57;0,1240;119;6;0;0;0;0;0;0
9,5000;9120;6;2;0;57;0,4990;479;24;1;0;1;1;1;1
10,0000;9600;6;3;0;53;0,3740;359;18;0;0;0;0;0;0
10,3750;9960;6;3;360;53;0,1240;119;6;0;0;0;0;0;0
10,5000;10080;7;1;0;53;0,1240;119;6;0;0;0;0;0;0
10,6250;10200;7;1;120;53;0,1240;119;6;0;0;0;0;0;0
10,7500;10320;7;1;240;50;0,1240;119;6;0;0;0;0;0;0
10,8750;10440;7;1;360;53;0,1240;119;6;0;0;0;0;0;0
11,0000;10560;7;2;0;53;0,3740;359;18;1;0;1;0;0;0
11,3750;10920;7;2;360;53;0,1240;119;6;0;0;0;0;0;0
11,5000;11040;7;3;0;53;0,4990;479;24;1;1;1;1;1;1
12,0000;11520;8;1;0;60;0,1240;119;6;0;0;0;0;0;0
12,1250;11640;8;1;120;60;0,1240;119;6;0;0;0;0;0;0
12,2500;11760;8;1;240;60;0,3740;359;18;1;1;1;0;0;0
12,6250;12120;8;2;120;62;0,1240;119;6;0;0;0;0;0;0
12,7500;12240;8;2;240;62;0,3740;359;18;1;1;1;0;0;0
13,1250;12600;8;3;120;60;0,1240;119;6;0;0;0;0;0;0
13,2500;12720;8;3;240;60;0,7490;719;36;1;0;1;1;1;1
14,0000;13440;9;2;0;60;0,2490;239;12;0;0;0;0;0;0
14,2500;13680;9;2;240;60;0,1240;119;6;0;0;1;0;0;0
14,3750;13800;9;2;360;58;0,1865;179;9;0;0;0;0;0;0
14,5625;13980;9;3;60;57;0,0615;59;3;1;0;1;1;0;0
14,6875;14100;9;3;180;60;0,0615;59;3;0;0;0;0;0;0
14,7500;14160;9;3;240;60;0,3740;359;18;1;1;1;0;0;0
15,1250;14520;10;1;120;58;0,1240;119;6;0;0;0;0;0;0
15,2500;14640;10;1;240;57;0,3740;359;18;1;1;1;1;1;0
15,6250;15000;10;2;120;53;0,1240;119;6;0;0;0;0;0;0
15,7500;15120;10;2;240;53;0,1656;159;8;1;0;0;0;0;0
15,9167;15280;10;2;400;53;0,1656;159;8;0;0;0;0;0;0
16,0833;15440;10;3;80;53;0,1656;159;8;0;0;0;0;0;0
16,2500;15600;10;3;240;53;0,3740;359;18;1;1;1;0;0;0
16,6250;15960;11;1;120;53;0,1240;119;6;0;0;0;0;0;0
16,7500;16080;11;1;240;53;0,3740;359;18;1;1;1;0;0;0
17,1250;16440;11;2;120;53;0,1240;119;6;0;0;0;0;0;0
17,2500;16560;11;2;240;53;0,4990;479;24;1;1;1;1;1;1
18,0000;17280;12;1;0;53;0,1240;119;6;0;0;0;0;0;0
18,1250;17400;12;1;120;53;0,1240;119;6;0;0;0;0;0;0
18,2500;17520;12;1;240;53;0,4990;479;24;1;0;1;0;1;1
19,0000;18240;12;3;0;53;0,2490;239;12;0;0;0;0;0;0
19,2500;18480;12;3;240;53;0,4990;479;24;1;1;1;0;0;1
19,7500;18960;13;1;240;57;0,1656;159;8;0;0;0;0;0;0
19,9167;19120;13;1;400;53;0,1656;159;8;0;0;0;0;0;0
20,0833;19280;13;2;80;53;0,1656;159;8;0;0;0;0;0;0
20,2500;19440;13;2;240;53;0,3740;359;18;1;1;1;0;0;0
20,6250;19800;13;3;120;57;0,1240;119;6;0;0;0;0;0;0
20,7500;19920;13;3;240;57;0,4990;479;24;1;0;1;1;1;1
21,2500;20400;14;1;240;53;0,3740;359;18;0;0;0;0;0;0
21,6250;20760;14;2;120;53;0,1240;119;6;0;0;0;0;0;0
21,7500;20880;14;2;240;53;0,1240;119;6;0;0;0;0;0;0
21,8750;21000;14;2;360;53;0,1240;119;6;0;0;0;0;0;0
22,0000;21120;14;3;0;50;0,1240;119;6;0;0;0;0;0;0
