Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;56;0,2490;239;6;0;0;0;0;0;0
0,2500;240;1;1;240;55;0,2490;239;6;0;0;0;0;0;0
0,5000;480;1;2;0;56;0,4990;479;12;1;1;1;1;0;0
1,0000;960;1;3;0;56;0,2490;239;6;0;0;0;0;0;0
1,2500;1200;1;3;240;56;0,1240;119;3;0;0;1;0;0;0
1,3750;1320;1;3;360;55;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;1;0;56;0,2490;239;6;0;0;1;0;0;0
1,7500;1680;2;1;240;55;0,2490;239;6;0;0;0;0;0;0
2,0000;1920;2;2;0;53;0,2490;239;6;0;0;0;0;0;0
2,2500;2160;2;2;240;55;0,2490;239;6;0;0;1;0;0;0
2,5000;2400;2;3;0;53;0,4990;479;12;0;0;0;0;0;0
3,0000;2880;3;1;0;53;0,4990;479;12;1;1;1;1;1;0
4,0000;3840;3;3;0;55;0,2490;239;6;0;0;0;0;0;0
4,2500;4080;3;3;240;55;0,2490;239;6;0;0;0;0;0;0
4,5000;4320;4;1;0;55;0,4990;479;12;1;0;1;0;0;0
5,0000;4800;4;2;0;55;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;4;2;240;55;0,1240;119;3;0;0;1;1;0;0
5,3750;5160;4;2;360;53;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;4;3;0;55;0,2490;239;6;0;0;1;0;0;0
5,7500;5520;4;3;240;53;0,2490;239;6;0;0;0;0;0;0
6,0000;5760;5;1;0;51;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;5;1;240;53;0,2490;239;6;0;0;1;0;0;0
6,5000;6240;5;2;0;49;0,4990;479;12;0;0;0;0;0;0
7,0000;6720;5;3;0;49;0,4990;479;12;1;1;1;1;1;0
8,0000;7680;6;2;0;53;0,2490;239;6;0;0;0;0;0;0
8,2500;7920;6;2;240;53;0,2490;239;6;0;0;0;0;0;0
8,5000;8160;6;3;0;55;0,4990;479;12;1;0;1;0;0;0
9,0000;8640;7;1;0;53;0,2490;239;6;0;0;0;0;0;0
9,2500;8880;7;1;240;53;0,2490;239;6;0;0;0;0;0;0
9,5000;9120;7;2;0;53;0,1656;159;4;1;0;0;0;0;0
9,6667;9280;7;2;160;53;0,1656;159;4;0;0;0;0;0;0
9,8333;9440;7;2;320;53;0,1656;159;4;0;0;0;0;0;0
10,0000;9600;7;3;0;53;0,4990;479;12;1;0;1;1;1;0
11,0000;10560;8;2;0;53;0,2490;239;6;0;0;0;0;0;0
11,2500;10800;8;2;240;53;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;8;3;0;55;0,4990;479;12;1;1;1;0;0;0
12,0000;11520;9;1;0;53;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;9;1;240;53;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;9;2;0;53;0,1656;159;4;1;0;0;0;0;0
12,6667;12160;9;2;160;53;0,1656;159;4;0;0;0;0;0;0
12,8333;12320;9;2;320;53;0,1656;159;4;0;0;0;0;0;0
13,0000;12480;9;3;0;53;0,4990;479;12;1;1;1;1;1;0
14,0000;13440;10;2;0;53;0,4990;479;12;0;0;0;0;0;0
14,5000;13920;10;3;0;53;0,9990;959;24;1;1;1;0;0;1
15,5000;14880;11;2;0;53;0,2490;239;6;0;0;0;0;0;0
15,7500;15120;11;2;240;53;0,2490;239;6;0;0;0;0;0;0
16,0000;15360;11;3;0;53;0,4990;479;12;1;1;1;1;1;1
