Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;62;0,1240;119;1;0;0;1;0;0;0
1,0000;960;0;3;0;64;0,3740;359;3;1;1;0;0;0;0
1,3750;1320;0;3;360;64;0,1240;119;1;0;0;0;0;0;0
1,5000;1440;1;1;0;64;0,4990;479;4;1;1;0;0;0;1
2,0000;1920;1;2;0;64;0,2490;239;2;0;0;1;1;0;0
2,2500;2160;1;2;240;62;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;1;3;0;62;0,3740;359;3;1;0;1;0;0;0
2,8750;2760;1;3;360;62;0,1240;119;1;0;0;0;0;0;0
3,0000;2880;2;1;0;62;0,8740;839;7;1;1;1;0;0;1
3,8750;3720;2;2;360;62;0,1240;119;1;0;0;0;0;0;0
4,0000;3840;2;3;0;62;0,4990;479;4;1;0;1;1;1;1
4,8750;4680;3;1;360;62;0,1240;119;1;0;0;0;0;0;0
5,0000;4800;3;2;0;62;0,3740;359;3;1;1;1;0;0;0
5,3750;5160;3;2;360;61;0,1240;119;1;0;0;0;0;0;0
5,5000;5280;3;3;0;62;0,4990;479;4;1;1;0;0;0;1
6,0000;5760;4;1;0;62;0,2490;239;2;0;0;1;1;0;0
6,2500;6000;4;1;240;57;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;4;2;0;57;0,3740;359;3;1;0;1;0;0;0
6,8750;6600;4;2;360;57;0,1240;119;1;0;0;0;0;0;0
7,0000;6720;4;3;0;57;0,4990;479;4;1;0;1;1;1;1
7,8750;7560;5;1;360;57;0,1240;119;1;0;0;0;0;0;0
8,0000;7680;5;2;0;57;0,4990;479;4;1;1;1;0;0;1
8,5000;8160;5;3;0;62;0,3740;359;3;0;0;0;0;0;0
8,8750;8520;5;3;360;64;0,1240;119;1;0;0;1;0;0;0
9,0000;8640;6;1;0;62;0,4990;479;4;0;0;0;0;0;1
9,5000;9120;6;2;0;62;0,3740;359;3;1;0;1;1;0;0
9,8750;9480;6;2;360;57;0,1240;119;1;0;0;0;0;0;0
10,0000;9600;6;3;0;57;0,3740;359;3;1;0;1;0;0;0
10,3750;9960;6;3;360;57;0,1240;119;1;0;0;0;0;0;0
10,5000;10080;7;1;0;57;0,9990;959;8;1;1;1;1;1;1
12,0000;11520;8;1;0;57;0,4990;479;4;0;0;0;0;0;1
12,5000;12000;8;2;0;57;0,3740;359;3;0;0;0;0;0;0
12,8750;12360;8;2;360;57;0,1240;119;1;0;0;0;0;0;0
13,0000;12480;8;3;0;57;0,3740;359;3;1;1;1;0;0;0
13,3750;12840;8;3;360;56;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;9;1;0;57;0,4990;479;4;0;1;0;0;0;1
14,0000;13440;9;2;0;62;0,4990;479;4;0;1;1;1;1;1
14,8750;14280;9;3;360;62;0,1240;119;1;0;0;0;0;0;0
15,0000;14400;10;1;0;64;0,3740;359;3;1;0;0;0;0;0
15,3750;14760;10;1;360;64;0,1240;119;1;0;0;0;0;0;0
