Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;56;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;1;0;59;0,2490;239;6;0;0;1;0;0;0
1,2500;1200;1;1;240;59;0,0823;79;2;0;0;0;0;0;0
1,3333;1280;1;1;320;59;0,1656;159;4;0;1;1;0;0;0
1,5000;1440;1;2;0;56;0,3740;359;9;0;1;0;0;0;0
1,8750;1800;1;2;360;56;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;2;1;0;56;0,1656;159;4;1;0;0;0;0;0
2,1667;2080;2;1;160;56;0,1656;159;4;0;0;0;0;0;0
2,3333;2240;2;1;320;56;0,1656;159;4;0;0;0;0;0;0
2,5000;2400;2;2;0;53;0,1240;119;3;1;1;1;1;1;0
2,7500;2640;2;2;240;56;0,1240;119;3;0;0;0;0;0;0
2,8750;2760;2;2;360;56;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;3;1;0;56;0,1656;159;4;1;0;1;0;0;0
3,1667;3040;3;1;160;56;0,1656;159;4;0;0;0;0;0;0
3,3333;3200;3;1;320;56;0,1656;159;4;0;0;1;1;0;0
3,5000;3360;3;2;0;53;0,1656;159;4;1;1;0;0;0;0
3,6667;3520;3;2;160;53;0,0823;79;2;0;0;1;0;0;0
3,7500;3600;3;2;240;51;0,0823;79;2;0;0;0;0;0;0
3,8333;3680;3;2;320;53;0,1656;159;4;1;0;1;0;0;0
4,0000;3840;4;1;0;56;0,1656;159;4;0;0;0;0;0;0
4,1667;4000;4;1;160;56;0,1656;159;4;0;0;0;0;0;0
4,3333;4160;4;1;320;56;0,1656;159;4;0;0;0;0;0;0
4,5000;4320;4;2;0;53;0,2490;239;6;1;0;1;1;1;0
4,8750;4680;4;2;360;53;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;5;1;0;53;0,1656;159;4;0;0;0;0;0;0
5,1667;4960;5;1;160;53;0,1656;159;4;0;0;0;0;0;0
5,3333;5120;5;1;320;53;0,1656;159;4;0;0;0;0;0;0
5,5000;5280;5;2;0;51;0,1240;119;3;1;1;1;0;1;0
5,7500;5520;5;2;240;53;0,1240;119;3;0;0;0;0;0;0
5,8750;5640;5;2;360;53;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;6;1;0;53;0,1656;159;4;0;0;1;0;0;0
6,1667;5920;6;1;160;53;0,1656;159;4;0;0;0;0;0;0
6,3333;6080;6;1;320;53;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;6;2;0;53;0,2490;239;6;1;1;1;1;0;0
6,7500;6480;6;2;240;56;0,1240;119;3;0;0;0;0;0;0
6,8750;6600;6;2;360;56;0,1240;119;3;1;0;1;0;0;0
7,0000;6720;7;1;0;58;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;7;1;160;58;0,1656;159;4;0;0;0;0;0;0
7,3333;7040;7;1;320;58;0,1656;159;4;0;0;0;0;0;0
7,5000;7200;7;2;0;56;0,2490;239;6;1;0;1;1;1;0
7,8750;7560;7;2;360;56;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;8;1;0;56;0,1656;159;4;0;0;0;0;0;0
8,1667;7840;8;1;160;56;0,1656;159;4;0;0;0;0;0;0
8,3333;8000;8;1;320;56;0,1656;159;4;0;0;0;0;0;0
8,5000;8160;8;2;0;53;0,1240;119;3;1;1;1;0;0;0
8,7500;8400;8;2;240;56;0,1240;119;3;0;0;0;0;0;0
8,8750;8520;8;2;360;56;0,1240;119;3;0;0;0;0;0;0
9,0000;8640;9;1;0;56;0,1656;159;4;1;0;1;0;0;0
9,1667;8800;9;1;160;56;0,1656;159;4;0;0;0;0;1;0
9,3333;8960;9;1;320;56;0,1656;159;4;0;0;1;1;0;0
9,5000;9120;9;2;0;53;0,1656;159;4;1;1;0;0;0;0
9,6667;9280;9;2;160;53;0,0823;79;2;0;0;1;0;0;0
9,7500;9360;9;2;240;51;0,0823;79;2;0;0;0;0;0;0
9,8333;9440;9;2;320;53;0,1656;159;4;0;0;1;0;0;0
10,0000;9600;10;1;0;56;0,1656;159;4;0;1;0;0;0;0
10,1667;9760;10;1;160;56;0,1656;159;4;0;0;0;0;0;0
10,3333;9920;10;1;320;56;0,1656;159;4;0;0;0;0;0;0
10,5000;10080;10;2;0;53;0,2490;239;6;1;1;1;1;1;0
10,8750;10440;10;2;360;53;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;11;1;0;53;0,1656;159;4;1;0;0;0;0;0
11,1667;10720;11;1;160;53;0,1656;159;4;0;0;0;0;0;0
11,3333;10880;11;1;320;53;0,1656;159;4;0;0;0;0;0;0
11,5000;11040;11;2;0;51;0,1240;119;3;1;1;1;0;0;0
11,7500;11280;11;2;240;53;0,1240;119;3;0;0;0;0;0;0
11,8750;11400;11;2;360;53;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;12;1;0;53;0,1656;159;4;1;0;1;0;0;0
12,1667;11680;12;1;160;53;0,1656;159;4;0;0;0;0;0;0
12,3333;11840;12;1;320;53;0,1656;159;4;0;0;0;0;0;0
12,5000;12000;12;2;0;53;0,2490;239;6;1;0;1;1;0;0
12,7500;12240;12;2;240;56;0,2490;239;6;1;1;1;1;1;1
