Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;63;0,3740;359;9;0;0;0;0;0;0
0,3750;360;1;1;360;65;0,1240;119;3;0;0;0;0;0;0
0,5000;480;1;2;0;63;0,8740;839;21;1;1;1;1;0;1
1,3750;1320;2;1;360;58;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;2;2;0;58;0,1656;159;4;0;0;1;0;0;0
1,6667;1600;2;2;160;55;0,1656;159;4;1;0;0;0;0;0
1,8333;1760;2;2;320;53;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;3;1;0;53;0,3740;359;9;1;1;1;0;0;0
2,3750;2280;3;1;360;51;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;3;2;0;51;0,9990;959;24;1;1;1;1;1;1
3,5000;3360;4;2;0;48;0,1240;119;3;0;0;0;0;0;0
3,6250;3480;4;2;120;48;0,8740;839;21;1;1;1;0;0;1
4,5000;4320;5;2;0;51;0,3740;359;9;0;0;0;0;0;0
4,8750;4680;5;2;360;51;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;6;1;0;53;0,3740;359;9;1;0;1;0;0;0
5,3750;5160;6;1;360;51;0,1240;119;3;0;0;0;0;0;0
5,5000;5280;6;2;0;53;0,3740;359;9;1;1;1;1;1;0
5,8750;5640;6;2;360;55;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;7;1;0;55;0,1656;159;4;0;0;1;0;0;0
6,1667;5920;7;1;160;53;0,1656;159;4;1;0;0;0;0;0
6,3333;6080;7;1;320;51;0,1656;159;4;0;0;0;0;0;0
6,5000;6240;7;2;0;51;0,3740;359;9;1;1;1;0;0;0
6,8750;6600;7;2;360;51;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;8;1;0;51;0,3740;359;9;1;0;1;0;0;0
7,3750;7080;8;1;360;51;0,1240;119;3;0;0;0;0;0;0
7,5000;7200;8;2;0;51;0,3740;359;9;1;0;0;0;1;0
7,8750;7560;8;2;360;51;0,1240;119;3;0;0;1;1;0;0
8,0000;7680;9;1;0;58;0,3740;359;9;1;1;0;0;0;0
8,3750;8040;9;1;360;58;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;9;2;0;60;0,1656;159;4;1;0;0;0;0;0
8,6667;8320;9;2;160;58;0,1656;159;4;0;0;1;0;0;0
8,8333;8480;9;2;320;55;0,1656;159;4;0;0;0;0;0;0
9,0000;8640;10;1;0;55;0,3740;359;9;1;0;1;0;0;0
9,3750;9000;10;1;360;53;0,1240;119;3;0;0;0;0;0;0
9,5000;9120;10;2;0;51;0,4990;479;12;1;1;1;1;1;1
10,0000;9600;11;1;0;56;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;11;1;240;58;0,1240;119;3;0;0;0;0;0;0
10,3750;9960;11;1;360;56;0,1240;119;3;0;0;0;0;0;0
10,5000;10080;11;2;0;58;0,1240;119;3;0;0;0;0;0;0
10,6250;10200;11;2;120;56;0,1240;119;3;0;0;1;0;0;0
10,7500;10320;11;2;240;51;0,2490;239;6;0;0;0;0;0;0
11,0000;10560;12;1;0;51;0,4990;479;12;1;0;1;0;0;1
11,5000;11040;12;2;0;53;0,1240;119;3;0;0;0;0;0;0
11,6250;11160;12;2;120;51;0,3740;359;9;0;0;1;0;1;0
12,0000;11520;13;1;0;53;0,1656;159;4;0;0;0;0;0;0
12,1667;11680;13;1;160;51;0,1656;159;4;0;0;0;0;0;0
12,3333;11840;13;1;320;53;0,1656;159;4;0;0;0;0;0;0
12,5000;12000;13;2;0;51;0,3740;359;9;1;1;1;1;0;0
12,8750;12360;13;2;360;53;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;14;1;0;51;0,2490;239;6;1;0;1;0;0;0
13,2500;12720;14;1;240;53;0,1240;119;3;0;0;0;0;0;0
13,3750;12840;14;1;360;51;0,1240;119;3;0;0;0;0;0;0
13,5000;12960;14;2;0;53;0,1656;159;4;1;1;1;0;0;0
13,6667;13120;14;2;160;51;0,1656;159;4;0;0;0;0;0;0
13,8333;13280;14;2;320;53;0,1656;159;4;0;0;0;0;0;0
14,0000;13440;15;1;0;51;0,1240;119;3;0;0;0;0;0;0
14,1250;13560;15;1;120;53;0,3740;359;9;0;0;0;0;0;0
14,5000;13920;15;2;0;51;0,4990;479;12;0;0;1;1;1;1
15,0000;14400;16;1;0;53;0,1656;159;4;1;1;0;0;0;0
15,1667;14560;16;1;160;51;0,1656;159;4;0;0;0;0;0;0
15,3333;14720;16;1;320;53;0,1656;159;4;1;0;1;0;0;0
15,5000;14880;16;2;0;51;0,4990;479;12;0;0;0;0;0;1
16,0000;15360;17;1;0;51;0,4990;479;12;0;0;0;0;0;1
16,5000;15840;17;2;0;51;0,4990;479;12;0;0;0;0;0;1
17,0000;16320;18;1;0;51;0,9990;959;24;1;1;1;0;1;1
18,0000;17280;19;1;0;55;0,2490;239;6;0;0;0;0;0;0
18,2500;17520;19;1;240;53;0,2490;239;6;0;0;0;0;0;0
18,5000;17760;19;2;0;55;0,2490;239;6;1;0;1;1;0;0
19,0000;18240;20;1;0;51;0,2490;239;6;0;0;0;0;0;0
19,2500;18480;20;1;240;55;0,1240;119;3;0;0;0;0;0;0
19,3750;18600;20;1;360;51;0,1240;119;3;0;0;1;0;0;0
19,5000;18720;20;2;0;55;0,4990;479;12;0;0;0;0;0;1
20,0000;19200;21;1;0;55;0,2490;239;6;0;0;1;1;0;0
20,5000;19680;21;2;0;55;0,3740;359;9;1;0;0;0;0;0
20,8750;20040;21;2;360;55;0,1240;119;3;0;0;0;0;0;0
21,0000;20160;22;1;0;51;0,9990;959;24;1;0;1;0;1;1
22,0000;21120;23;1;0;55;0,2490;239;6;0;0;0;0;0;0
22,2500;21360;23;1;240;51;0,2490;239;6;0;0;0;0;0;0
22,5000;21600;23;2;0;55;0,3740;359;9;1;1;1;0;0;0
22,8750;21960;23;2;360;51;0,1240;119;3;0;0;0;0;0;0
23,0000;22080;24;1;0;51;0,4990;479;12;0;0;1;0;0;1
23,5000;22560;24;2;0;51;0,4990;479;12;0;0;0;0;0;1
24,0000;23040;25;1;0;51;0,9990;959;24;0;1;1;1;0;0
25,0000;24000;26;1;0;51;0,9990;959;24;1;1;1;1;1;1
