Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;72;0,1240;119;3;0;0;0;0;0;0
0,1250;120;1;1;120;72;0,3740;359;9;1;1;1;0;0;0
0,5000;480;1;2;0;74;0,1240;119;3;0;0;0;0;0;0
0,6250;600;1;2;120;72;0,3740;359;9;1;1;0;0;0;0
1,0000;960;2;1;0;72;0,1240;119;3;0;0;1;1;0;0
1,1250;1080;2;1;120;69;0,3740;359;9;1;0;0;0;0;0
1,5000;1440;2;2;0;69;0,1240;119;3;0;0;0;0;0;0
1,6250;1560;2;2;120;69;0,2490;239;6;1;0;1;0;0;0
1,8750;1800;2;2;360;69;0,1240;119;3;0;0;0;0;0;0
2,0000;1920;3;1;0;69;0,1240;119;3;0;0;1;0;0;0
2,1250;2040;3;1;120;67;0,3740;359;9;1;1;0;0;1;0
2,5000;2400;3;2;0;67;0,1240;119;3;0;0;0;0;0;0
2,6250;2520;3;2;120;65;0,3740;359;9;1;0;1;1;0;0
3,0000;2880;4;1;0;67;0,1240;119;3;0;0;0;0;0;0
3,1250;3000;4;1;120;67;0,3740;359;9;0;0;0;0;0;0
3,5000;3360;4;2;0;67;0,3740;359;9;0;0;0;0;0;0
3,8750;3720;4;2;360;67;0,1240;119;3;0;0;0;0;0;0
4,0000;3840;5;1;0;67;0,2490;239;6;1;1;1;1;1;0
4,5000;4320;5;2;0;69;0,1240;119;3;0;0;0;0;0;0
4,6250;4440;5;2;120;69;0,3740;359;9;1;0;0;0;0;0
5,0000;4800;6;1;0;69;0,1240;119;3;0;0;1;0;0;0
5,1250;4920;6;1;120;67;0,3740;359;9;1;1;0;0;0;0
5,5000;5280;6;2;0;67;0,1240;119;3;0;0;1;1;0;0
5,6250;5400;6;2;120;65;0,3740;359;9;1;1;0;0;0;0
6,0000;5760;7;1;0;65;0,1240;119;3;0;0;1;1;0;0
6,1250;5880;7;1;120;67;0,3740;359;9;0;0;0;0;0;0
6,5000;6240;7;2;0;67;0,3740;359;9;0;0;0;0;0;0
6,8750;6600;7;2;360;67;0,1240;119;3;1;0;1;0;0;0
7,0000;6720;8;1;0;69;0,1656;159;4;0;0;0;0;0;0
7,1667;6880;8;1;160;67;0,1656;159;4;0;0;1;0;0;0
