Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;57;0,4990;479;4;0;0;0;0;0;0
1,0000;960;1;1;0;57;1,7490;1679;14;1;0;1;1;0;1
2,7500;2640;2;2;240;54;0,2490;239;2;0;0;0;0;0;0
3,0000;2880;3;1;0;57;0,4990;479;4;1;1;1;0;0;0
4,0000;3840;4;1;0;57;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;4;2;0;57;1,7490;1679;14;1;0;1;0;0;1
6,2500;6000;6;1;240;56;0,2490;239;2;0;0;0;0;0;0
6,5000;6240;6;2;0;57;0,9990;959;8;1;1;1;0;1;1
7,5000;7200;7;2;0;59;0,2490;239;2;0;0;0;0;0;0
7,7500;7440;7;2;240;57;0,2490;239;2;1;0;1;1;0;0
8,3750;8040;8;1;360;56;0,1240;119;1;0;0;0;0;0;0
8,5000;8160;8;2;0;57;0,4990;479;4;0;1;0;0;0;0
9,0000;8640;9;1;0;57;0,2490;239;2;0;0;1;0;0;0
9,3750;9000;9;1;360;56;0,1240;119;1;0;0;0;0;0;0
9,5000;9120;9;2;0;57;0,3740;359;3;1;1;0;0;0;0
9,8750;9480;9;2;360;59;0,1240;119;1;0;0;1;0;0;0
10,0000;9600;10;1;0;57;0,2490;239;2;0;0;0;0;0;0
10,5000;10080;10;2;0;57;0,4990;479;4;1;0;1;0;1;0
11,5000;11040;11;2;0;57;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;12;1;0;57;1,7490;1679;14;1;0;1;0;0;1
13,7500;13200;13;2;240;56;0,2490;239;2;0;0;0;0;0;0
14,0000;13440;14;1;0;57;0,4990;479;4;1;1;1;1;0;0
15,0000;14400;15;1;0;57;0,4990;479;4;0;0;0;0;0;0
15,5000;14880;15;2;0;57;1,7490;1679;14;1;0;1;0;0;1
17,2500;16560;17;1;240;56;0,2490;239;2;0;0;0;0;0;0
17,5000;16800;17;2;0;57;0,9990;959;8;1;1;1;0;1;1
18,5000;17760;18;2;0;59;0,2490;239;2;0;0;0;0;0;0
18,7500;18000;18;2;240;57;0,2490;239;2;1;0;1;1;0;0
19,3750;18600;19;1;360;56;0,1240;119;1;0;0;0;0;0;0
19,5000;18720;19;2;0;57;0,4990;479;4;0;1;0;0;0;0
20,0000;19200;20;1;0;57;0,2490;239;2;0;0;1;0;0;0
20,3750;19560;20;1;360;56;0,1240;119;1;0;0;0;0;0;0
20,5000;19680;20;2;0;57;0,3740;359;3;1;1;0;0;0;0
20,8750;20040;20;2;360;59;0,1240;119;1;0;0;1;1;0;0
21,0000;20160;21;1;0;57;0,2490;239;2;0;0;0;0;0;0
21,5000;20640;21;2;0;57;0,4990;479;4;1;1;1;1;1;1
