Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,8750;840;0;2;360;55;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;1;0;55;0,3740;359;9;1;1;1;1;0;0
1,3750;1320;1;1;360;55;0,1240;119;3;0;0;0;0;0;0
1,5000;1440;1;2;0;55;0,1656;159;4;0;0;0;0;0;0
1,6667;1600;1;2;160;55;0,1656;159;4;0;0;0;0;0;0
1,8333;1760;1;2;320;55;0,1656;159;4;0;0;0;0;0;0
2,0000;1920;2;1;0;55;0,3740;359;9;1;0;1;0;0;0
2,3750;2280;2;1;360;55;0,1240;119;3;0;0;0;0;0;0
2,5000;2400;2;2;0;55;0,1240;119;3;0;0;0;0;0;0
2,6250;2520;2;2;120;55;0,2490;239;6;1;1;1;1;1;0
3,0000;2880;3;1;0;52;0,2490;239;6;0;0;0;0;0;0
3,2500;3120;3;1;240;55;0,2490;239;6;0;0;0;0;0;0
3,5000;3360;3;2;0;52;0,2490;239;6;0;0;1;0;0;0
3,7500;3600;3;2;240;55;0,2490;239;6;0;0;0;0;0;0
4,0000;3840;4;1;0;55;0,1240;119;3;0;0;0;0;0;0
4,1250;3960;4;1;120;55;0,3740;359;9;1;1;1;1;1;0
4,8750;4680;4;2;360;55;0,1240;119;3;0;0;0;0;0;0
5,0000;4800;5;1;0;55;0,2490;239;6;0;0;0;0;0;0
5,2500;5040;5;1;240;55;0,2490;239;6;0;0;0;0;0;0
5,5000;5280;5;2;0;55;0,2490;239;6;1;0;1;0;0;0
5,8750;5640;5;2;360;55;0,1240;119;3;0;0;0;0;0;0
6,0000;5760;6;1;0;55;0,2490;239;6;0;0;0;0;0;0
6,2500;6000;6;1;240;55;0,2490;239;6;0;0;0;0;0;0
6,5000;6240;6;2;0;55;0,2490;239;6;0;0;0;0;0;0
6,7500;6480;6;2;240;55;0,2490;239;6;0;0;0;0;0;0
7,0000;6720;7;1;0;52;0,2490;239;6;0;0;0;0;0;0
7,2500;6960;7;1;240;55;0,2490;239;6;1;1;1;1;1;0
7,8750;7560;7;2;360;55;0,1240;119;3;0;0;0;0;0;0
8,0000;7680;8;1;0;55;0,3740;359;9;1;0;1;0;0;0
8,3750;8040;8;1;360;55;0,1240;119;3;0;0;0;0;0;0
8,5000;8160;8;2;0;55;0,2490;239;6;0;0;0;0;0;0
8,7500;8400;8;2;240;55;0,2490;239;6;0;0;0;0;0;0
9,0000;8640;9;1;0;55;0,2490;239;6;1;1;1;1;1;0
9,5000;9120;9;2;0;55;0,1240;119;3;0;0;0;0;0;0
9,6250;9240;9;2;120;55;0,3740;359;9;1;1;1;0;0;0
10,0000;9600;10;1;0;55;0,2490;239;6;0;0;0;0;0;0
10,2500;9840;10;1;240;55;0,2490;239;6;0;0;1;0;0;0
10,5000;10080;10;2;0;52;0,2490;239;6;0;0;0;0;0;0
10,7500;10320;10;2;240;55;0,1240;119;3;1;0;0;0;0;0
11,0000;10560;11;1;0;52;0,2490;239;6;0;0;1;1;0;0
11,2500;10800;11;1;240;55;0,2490;239;6;0;0;0;0;0;0
11,5000;11040;11;2;0;55;0,3740;359;9;1;1;1;0;1;0
11,8750;11400;11;2;360;55;0,1240;119;3;0;0;0;0;0;0
12,0000;11520;12;1;0;55;0,2490;239;6;0;0;0;0;0;0
12,2500;11760;12;1;240;55;0,2490;239;6;0;0;0;0;0;0
12,5000;12000;12;2;0;55;0,2490;239;6;1;1;1;1;0;0
12,8750;12360;12;2;360;55;0,1240;119;3;0;0;0;0;0;0
13,0000;12480;13;1;0;55;0,1240;119;3;0;0;0;0;0;0
13,1250;12600;13;1;120;55;0,3740;359;9;1;0;1;0;0;0
13,5000;12960;13;2;0;55;0,2490;239;6;0;0;0;0;0;0
13,7500;13200;13;2;240;55;0,2490;239;6;0;0;0;0;0;0
14,0000;13440;14;1;0;52;0,2490;239;6;0;0;0;0;0;0
14,2500;13680;14;1;240;55;0,2490;239;6;1;1;1;1;1;0
14,8750;14280;14;2;360;55;0,1240;119;3;0;0;0;0;0;0
15,0000;14400;15;1;0;55;0,3740;359;9;1;0;1;0;0;0
15,3750;14760;15;1;360;55;0,1240;119;3;0;0;0;0;0;0
15,5000;14880;15;2;0;55;0,1656;159;4;1;1;1;1;0;0
15,6667;15040;15;2;160;57;0,1656;159;4;0;0;0;0;0;0
15,8333;15200;15;2;320;57;0,1656;159;4;0;0;0;0;0;0
16,0000;15360;16;1;0;57;0,1656;159;4;1;0;0;0;0;0
16,1667;15520;16;1;160;57;0,1656;159;4;0;0;0;1;0;0
16,3333;15680;16;1;320;55;0,1656;159;4;0;0;0;1;0;0
16,5000;15840;16;2;0;57;0,1656;159;4;0;0;0;0;0;0
16,6667;16000;16;2;160;57;0,1656;159;4;1;0;1;0;0;0
16,8333;16160;16;2;320;55;0,1656;159;4;0;0;0;0;0;0
17,0000;16320;17;1;0;57;0,3740;359;9;1;0;1;0;0;0
17,3750;16680;17;1;360;55;0,1240;119;3;0;0;0;0;0;0
17,5000;16800;17;2;0;55;0,3740;359;9;1;1;1;1;0;0
17,8750;17160;17;2;360;57;0,1240;119;3;0;0;0;0;0;0
18,0000;17280;18;1;0;57;0,4990;479;12;0;0;1;0;0;1
18,5000;17760;18;2;0;55;0,4990;479;12;0;0;0;0;0;1
19,0000;18240;19;1;0;55;0,4990;479;12;1;1;1;1;1;1
19,8750;19080;19;2;360;55;0,1240;119;3;0;0;0;0;0;0
