Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;58;0,3740;359;18;0;0;1;0;0;0
0,3750;360;1;1;360;58;0,1240;119;6;0;0;0;0;0;0
0,5000;480;1;2;0;58;0,4990;479;24;1;1;1;0;0;1
1,0000;960;1;3;0;58;0,1656;159;8;0;0;0;0;0;0
1,1667;1120;1;3;160;57;0,1656;159;8;1;1;1;1;0;0
1,3333;1280;1;3;320;60;0,1656;159;8;0;0;0;0;0;0
1,5000;1440;2;1;0;60;0,2490;239;12;0;0;1;0;0;0
1,7500;1680;2;1;240;58;0,2490;239;12;0;0;0;0;0;0
2,0000;1920;2;2;0;57;0,4990;479;24;0;1;0;0;1;1
2,5000;2400;2;3;0;58;0,3740;359;18;0;0;0;0;0;0
2,8750;2760;2;3;360;60;0,1240;119;6;0;0;1;0;0;0
3,0000;2880;3;1;0;58;0,4990;479;24;0;0;0;0;0;1
3,5000;3360;3;2;0;58;0,2490;239;12;1;1;1;1;0;0
3,8750;3720;3;2;360;60;0,1240;119;6;0;0;0;0;0;0
4,0000;3840;3;3;0;60;0,2490;239;12;0;0;1;0;0;0
4,2500;4080;3;3;240;58;0,2490;239;12;0;0;0;0;0;0
4,5000;4320;4;1;0;57;0,2490;239;12;1;0;1;1;1;0
5,0000;4800;4;2;0;53;0,3740;359;18;0;0;0;0;0;0
5,3750;5160;4;2;360;57;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;4;3;0;58;0,4990;479;24;0;0;0;0;0;1
6,0000;5760;5;1;0;58;0,4990;479;24;1;0;1;0;0;1
6,5000;6240;5;2;0;57;0,0990;95;5;0;0;0;0;0;0
6,6000;6336;5;2;96;55;0,0990;95;5;0;0;0;0;0;0
6,7000;6432;5;2;192;53;0,0990;95;5;1;0;1;0;0;0
6,8000;6528;5;2;288;57;0,0990;95;5;0;0;0;0;0;0
6,9000;6624;5;2;384;58;0,0990;95;5;0;0;0;0;0;0
7,0000;6720;5;3;0;58;0,4990;479;24;1;1;1;1;1;1
8,0000;7680;6;2;0;57;0,3740;359;18;0;0;0;0;0;0
8,3750;8040;6;2;360;57;0,1240;119;6;0;0;0;0;0;0
8,5000;8160;6;3;0;57;0,4990;479;24;0;0;1;0;0;1
9,0000;8640;7;1;0;57;0,3740;359;18;0;1;0;0;0;0
9,3750;9000;7;1;360;57;0,1240;119;6;0;0;1;0;0;0
9,5000;9120;7;2;0;55;0,1240;119;6;0;0;0;0;0;0
9,6250;9240;7;2;120;53;0,1240;119;6;1;0;1;1;0;0
9,7500;9360;7;2;240;57;0,1240;119;6;0;0;0;0;0;0
9,8750;9480;7;2;360;58;0,1240;119;6;0;0;0;0;0;0
10,0000;9600;7;3;0;58;0,2490;239;12;1;1;1;0;1;0
10,5000;10080;8;1;0;58;0,3740;359;18;0;0;0;0;0;0
10,8750;10440;8;1;360;60;0,1240;119;6;0;0;0;0;0;0
11,0000;10560;8;2;0;58;0,4990;479;24;0;0;0;0;0;1
11,5000;11040;8;3;0;58;0,3740;359;18;1;0;1;1;0;0
11,8750;11400;8;3;360;60;0,1240;119;6;0;0;0;0;0;0
12,0000;11520;9;1;0;60;0,1656;159;8;1;1;1;0;0;0
12,1667;11680;9;1;160;58;0,1656;159;8;0;0;0;0;0;0
12,3333;11840;9;1;320;57;0,1656;159;8;0;0;0;0;0;0
12,5000;12000;9;2;0;58;0,2490;239;12;1;0;1;0;1;0
13,0000;12480;9;3;0;58;0,3740;359;18;0;0;0;0;0;0
13,3750;12840;9;3;360;60;0,1240;119;6;0;0;0;0;0;0
13,5000;12960;10;1;0;58;0,4990;479;24;0;0;0;0;0;1
14,0000;13440;10;2;0;58;0,3740;359;18;1;0;1;1;0;0
14,3750;13800;10;2;360;60;0,1240;119;6;0;0;0;0;0;0
14,5000;13920;10;3;0;60;0,1656;159;8;1;1;1;0;0;0
14,6667;14080;10;3;160;58;0,1656;159;8;0;0;0;0;0;0
14,8333;14240;10;3;320;57;0,1656;159;8;0;0;0;0;0;0
15,0000;14400;11;1;0;58;0,2490;239;12;1;1;1;1;1;0
15,5000;14880;11;2;0;53;0,3740;359;18;0;0;0;0;0;0
15,8750;15240;11;2;360;57;0,1240;119;6;0;0;0;0;0;0
16,0000;15360;11;3;0;58;0,4990;479;24;0;0;0;0;0;1
16,5000;15840;12;1;0;58;0,3740;359;18;0;0;0;0;0;0
16,8750;16200;12;1;360;58;0,1240;119;6;1;1;1;0;0;0
17,0000;16320;12;2;0;57;0,0990;95;5;0;0;0;0;0;0
17,1000;16416;12;2;96;55;0,0990;95;5;0;0;0;0;0;0
17,2000;16512;12;2;192;53;0,0990;95;5;1;0;1;1;0;0
17,3000;16608;12;2;288;57;0,0990;95;5;0;0;0;0;0;0
17,4000;16704;12;2;384;58;0,0990;95;5;0;0;0;0;0;0
17,5000;16800;12;3;0;58;0,4990;479;24;1;1;1;1;1;1
