Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;0;2;0;58;0,1240;119;3;0;0;0;0;0;0
0,6250;600;0;2;120;58;0,1240;119;3;1;1;1;0;0;0
0,8750;840;0;2;360;58;0,1240;119;3;0;0;0;0;0;0
1,0000;960;1;1;0;58;0,9990;959;24;0;0;0;0;1;1
2,0000;1920;2;1;0;58;0,2490;239;6;0;0;1;1;0;0
2,5000;2400;2;2;0;58;0,1240;119;3;0;0;0;0;0;0
2,6250;2520;2;2;120;58;0,1240;119;3;1;1;1;0;0;0
2,8750;2760;2;2;360;58;0,1240;119;3;0;0;0;0;0;0
3,0000;2880;3;1;0;58;0,9990;959;24;1;1;1;0;0;1
4,0000;3840;4;1;0;58;0,4990;479;12;0;0;0;0;0;1
4,5000;4320;4;2;0;58;0,1656;159;4;0;0;0;0;0;0
4,6667;4480;4;2;160;58;0,1656;159;4;0;0;0;0;0;0
4,8333;4640;4;2;320;58;0,1656;159;4;0;0;0;0;0;0
5,0000;4800;5;1;0;58;0,9990;959;24;0;1;0;0;1;1
6,0000;5760;6;1;0;58;0,2490;239;6;0;0;1;1;0;0
6,5000;6240;6;2;0;58;0,1240;119;3;0;0;0;0;0;0
6,6250;6360;6;2;120;58;0,1240;119;3;1;1;1;0;0;0
6,8750;6600;6;2;360;58;0,1240;119;3;0;0;0;0;0;0
7,0000;6720;7;1;0;58;0,9990;959;24;1;1;1;0;0;1
8,0000;7680;8;1;0;58;0,4990;479;12;0;0;0;0;0;1
8,5000;8160;8;2;0;58;0,1656;159;4;1;0;0;0;0;0
8,6667;8320;8;2;160;58;0,1656;159;4;0;0;0;0;0;0
8,8333;8480;8;2;320;58;0,1656;159;4;0;0;0;0;0;0
9,0000;8640;9;1;0;58;0,9990;959;24;0;1;0;0;1;1
10,0000;9600;10;1;0;58;0,2490;239;6;0;0;1;1;0;0
10,5000;10080;10;2;0;58;0,1240;119;3;0;0;0;0;0;0
10,6250;10200;10;2;120;58;0,1240;119;3;1;1;1;0;0;0
10,8750;10440;10;2;360;58;0,1240;119;3;0;0;0;0;0;0
11,0000;10560;11;1;0;58;0,9990;959;24;1;0;1;1;0;1
12,0000;11520;12;1;0;58;0,4990;479;12;0;0;0;0;0;1
12,5000;12000;12;2;0;58;0,1656;159;4;1;0;1;0;0;0
12,6667;12160;12;2;160;60;0,1656;159;4;0;0;0;0;0;0
12,8333;12320;12;2;320;58;0,1656;159;4;0;0;0;0;0;0
13,0000;12480;13;1;0;58;0,8740;839;21;1;1;1;1;1;1
13,8750;13320;13;2;360;55;0,1240;119;3;0;0;0;0;0;0
14,0000;13440;14;1;0;58;0,4990;479;12;1;0;0;0;0;1
14,5000;13920;14;2;0;58;0,1240;119;3;0;0;0;0;0;0
14,6250;14040;14;2;120;58;0,1240;119;3;1;0;1;0;0;0
14,8750;14280;14;2;360;58;0,1240;119;3;0;0;0;0;0;0
15,0000;14400;15;1;0;58;0,8740;839;21;1;1;1;1;1;1
15,8750;15240;15;2;360;55;0,1240;119;3;0;0;0;0;0;0
16,0000;15360;16;1;0;58;0,4990;479;12;1;0;0;0;0;1
16,5000;15840;16;2;0;58;0,1656;159;4;0;0;1;0;0;0
16,6667;16000;16;2;160;60;0,1656;159;4;0;0;0;0;0;0
16,8333;16160;16;2;320;58;0,1656;159;4;0;0;0;0;0;0
17,0000;16320;17;1;0;58;0,8740;839;21;1;1;1;1;1;1
17,8750;17160;17;2;360;55;0,1240;119;3;0;0;0;0;0;0
18,0000;17280;18;1;0;58;0,4990;479;12;1;0;0;0;0;1
18,5000;17760;18;2;0;58;0,1240;119;3;0;0;0;0;0;0
18,6250;17880;18;2;120;58;0,1240;119;3;1;0;1;0;0;0
18,8750;18120;18;2;360;58;0,1240;119;3;0;0;0;0;0;0
19,0000;18240;19;1;0;58;0,8740;839;21;1;1;1;1;1;1
19,8750;19080;19;2;360;55;0,1240;119;3;0;0;0;0;0;0
20,0000;19200;20;1;0;58;0,4990;479;12;1;0;0;0;0;1
20,5000;19680;20;2;0;58;0,1656;159;4;0;0;1;0;0;0
20,6667;19840;20;2;160;60;0,1656;159;4;0;0;0;0;0;0
20,8333;20000;20;2;320;58;0,1656;159;4;0;0;0;0;0;0
21,0000;20160;21;1;0;58;0,8740;839;21;1;1;1;1;1;1
21,8750;21000;21;2;360;55;0,1240;119;3;0;0;0;0;0;0
22,0000;21120;22;1;0;58;0,4990;479;12;1;0;0;0;0;1
22,5000;21600;22;2;0;58;0,1240;119;3;0;0;0;0;0;0
22,6250;21720;22;2;120;58;0,1240;119;3;1;0;1;0;0;0
22,8750;21960;22;2;360;58;0,1240;119;3;0;0;0;0;0;0
23,0000;22080;23;1;0;58;0,8740;839;21;1;1;1;1;1;1
23,8750;22920;23;2;360;55;0,1240;119;3;0;0;0;0;0;0
24,0000;23040;24;1;0;58;0,4990;479;12;1;0;0;0;0;1
24,5000;23520;24;2;0;58;0,1656;159;4;0;0;1;0;0;0
24,6667;23680;24;2;160;60;0,1656;159;4;0;0;0;0;0;0
24,8333;23840;24;2;320;58;0,1656;159;4;0;0;0;0;0;0
25,0000;24000;25;1;0;58;0,8740;839;21;1;1;1;1;0;1
25,8750;24840;25;2;360;55;0,1240;119;3;0;0;0;0;0;0
26,0000;24960;26;1;0;58;0,4990;479;12;1;1;1;1;1;1
