Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;61;1,7490;1679;28;0;0;0;0;0;0
2,0000;1920;3;1;0;62;1,4990;1439;24;1;0;1;0;0;0
3,5000;3360;4;2;0;60;0,2490;239;4;0;0;0;0;0;0
3,7500;3600;4;2;240;58;0,2490;239;4;0;0;0;0;0;0
4,0000;3840;5;1;0;58;0,9990;959;16;1;1;1;1;0;0
5,5000;5280;6;2;0;60;2,4990;2399;40;0;0;0;0;0;1
8,0000;7680;9;1;0;58;0,2490;239;4;0;0;0;0;0;0
8,5000;8160;9;2;0;59;0,9990;959;16;0;0;1;0;0;0
9,5000;9120;10;2;0;56;0,9990;959;16;0;0;0;0;0;0
10,5000;10080;11;2;0;57;0,4990;479;8;0;0;1;1;1;0
11,5000;11040;12;2;0;58;1,2490;1199;20;1;1;0;0;0;0
12,7500;12240;13;2;240;60;0,1240;119;2;0;0;0;0;0;0
12,8750;12360;13;2;360;58;0,1240;119;2;0;0;0;0;0;0
13,0000;12480;14;1;0;58;0,4990;479;8;0;0;1;0;0;0
13,5000;12960;14;2;0;58;0,4990;479;8;0;0;0;0;0;0
14,0000;13440;15;1;0;58;0,4990;479;8;0;0;0;0;0;0
14,5000;13920;15;2;0;55;0,2490;239;4;0;1;1;1;0;0
15,0000;14400;16;1;0;58;1,2490;1199;20;0;1;0;0;0;0
16,2500;15600;17;1;240;58;0,1240;119;2;0;0;0;0;0;0
16,3750;15720;17;1;360;58;0,1240;119;2;0;0;0;0;0;0
16,5000;15840;17;2;0;58;0,4990;479;8;0;0;1;0;0;0
17,0000;16320;18;1;0;58;0,4990;479;8;0;0;0;0;0;0
17,5000;16800;18;2;0;58;0,4990;479;8;1;1;1;1;1;0
18,5000;17760;19;2;0;58;0,4990;479;8;0;0;0;0;0;0
19,0000;18240;20;1;0;58;0,4990;479;8;0;0;0;0;0;0
19,5000;18720;20;2;0;58;0,4990;479;8;0;0;0;0;0;0
20,0000;19200;21;1;0;58;0,3740;359;6;1;0;1;0;0;0
20,3750;19560;21;1;360;58;0,1240;119;2;0;0;0;0;0;0
20,5000;19680;21;2;0;58;0,4990;479;8;0;0;1;0;0;0
21,0000;20160;22;1;0;58;0,4990;479;8;0;0;0;0;0;0
21,5000;20640;22;2;0;58;0,4990;479;8;1;1;1;1;1;0
22,5000;21600;23;2;0;58;0,4990;479;8;0;0;0;0;0;0
23,0000;22080;24;1;0;58;0,4990;479;8;0;0;0;0;0;0
23,5000;22560;24;2;0;58;0,4990;479;8;0;0;0;0;0;0
24,0000;23040;25;1;0;58;0,3740;359;6;1;0;1;0;0;0
24,3750;23400;25;1;360;58;0,1240;119;2;0;0;0;0;0;0
24,5000;23520;25;2;0;58;0,4990;479;8;0;0;1;0;0;0
25,0000;24000;26;1;0;58;0,4990;479;8;0;0;0;0;0;0
25,5000;24480;26;2;0;58;0,4990;479;8;0;1;1;1;1;0
26,5000;25440;27;2;0;58;1,2490;1199;20;0;1;0;0;0;0
27,7500;26640;28;2;240;60;0,1865;179;3;0;1;0;0;0;0
27,9375;26820;28;2;420;58;0,0615;59;1;0;0;0;0;0;0
28,0000;26880;29;1;0;58;0,4990;479;8;0;0;1;0;0;0
28,5000;27360;29;2;0;58;0,4990;479;8;0;0;0;0;0;0
29,0000;27840;30;1;0;58;0,4990;479;8;1;0;1;1;0;0
30,0000;28800;31;1;0;58;1,8740;1799;30;0;0;0;0;0;1
31,8750;30600;32;2;360;58;0,1240;119;2;0;0;0;0;0;0
32,0000;30720;33;1;0;58;0,4990;479;8;0;0;1;0;0;0
32,5000;31200;33;2;0;58;0,4990;479;8;0;0;0;0;0;0
33,0000;31680;34;1;0;58;0,9990;959;16;0;1;1;1;0;0
34,0000;32640;35;1;0;58;0,9990;959;16;1;1;1;1;1;1
