Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,5000;480;1;2;0;59;0,3740;359;18;0;0;1;0;0;0
0,8750;840;1;2;360;64;0,1240;119;6;0;0;0;0;0;0
1,0000;960;1;3;0;64;1,9990;1919;96;1;0;1;1;0;1
3,0000;2880;3;1;0;62;0,4990;479;24;0;0;0;0;0;0
3,5000;3360;3;2;0;64;0,4990;479;24;1;1;1;0;0;0
4,3750;4200;3;3;360;64;0,1240;119;6;0;0;0;0;0;0
4,5000;4320;4;1;0;64;0,8740;839;42;1;0;1;0;0;0
5,3750;5160;4;2;360;64;0,1240;119;6;0;0;0;0;0;0
5,5000;5280;4;3;0;64;0,9990;959;48;1;1;1;1;1;1
6,5000;6240;5;2;0;62;0,4990;479;24;0;0;0;0;0;0
7,0000;6720;5;3;0;59;0,4990;479;24;0;0;0;0;0;0
7,5000;7200;6;1;0;62;0,7490;719;36;1;0;1;0;0;0
8,2500;7920;6;2;240;59;0,2490;239;12;0;0;0;0;0;0
8,5000;8160;6;3;0;59;0,2490;239;12;0;0;0;0;0;0
8,7500;8400;6;3;240;59;0,2490;239;12;0;0;0;0;0;0
9,0000;8640;7;1;0;57;0,4990;479;24;1;0;1;1;1;0
10,0000;9600;7;3;0;59;0,2490;239;12;0;0;0;0;0;0
10,2500;9840;7;3;240;57;0,2490;239;12;0;0;0;0;0;0
10,5000;10080;8;1;0;59;0,9990;959;48;1;0;0;0;0;1
11,5000;11040;8;3;0;62;0,7490;719;36;0;0;1;0;0;0
12,2500;11760;9;1;240;59;0,2490;239;12;0;0;0;0;0;0
12,5000;12000;9;2;0;59;0,2490;239;12;0;0;0;0;0;0
12,7500;12240;9;2;240;59;0,2490;239;12;0;0;0;0;0;0
13,0000;12480;9;3;0;57;0,4990;479;24;1;1;1;0;0;0
13,5000;12960;10;1;0;59;0,2490;239;12;0;0;0;0;0;0
13,7500;13200;10;1;240;59;0,2490;239;12;0;0;0;0;0;0
14,0000;13440;10;2;0;59;0,4990;479;24;1;0;1;1;1;0
14,8750;14280;10;3;360;59;0,1240;119;6;0;0;0;0;0;0
15,0000;14400;11;1;0;59;0,3740;359;18;1;1;1;0;0;0
15,3750;14760;11;1;360;64;0,1240;119;6;0;0;0;0;0;0
15,5000;14880;11;2;0;64;0,9990;959;48;1;0;1;0;0;1
16,5000;15840;12;1;0;62;0,2490;239;12;0;0;0;0;0;0
16,7500;16080;12;1;240;59;0,2490;239;12;0;0;1;0;0;0
17,0000;16320;12;2;0;62;0,4990;479;24;1;0;0;0;0;0
17,5000;16800;12;3;0;62;0,2490;239;12;0;0;1;0;0;0
17,7500;17040;12;3;240;59;0,2490;239;12;0;0;0;0;0;0
18,0000;17280;13;1;0;59;0,2490;239;12;0;0;0;0;0;0
18,2500;17520;13;1;240;59;0,2490;239;12;0;0;0;0;0;0
18,5000;17760;13;2;0;59;0,4990;479;24;1;1;1;1;1;0
19,2500;18480;13;3;240;62;0,2490;239;12;0;0;0;0;0;0
19,5000;18720;14;1;0;62;0,4990;479;24;1;1;1;0;0;0
20,0000;19200;14;2;0;59;0,2490;239;12;0;0;0;0;0;0
20,2500;19440;14;2;240;57;0,2490;239;12;0;0;0;0;0;0
20,5000;19680;14;3;0;59;0,4990;479;24;1;0;1;0;0;0
21,0000;20160;15;1;0;54;0,2490;239;12;0;0;0;0;0;0
21,2500;20400;15;1;240;59;0,2490;239;12;0;0;0;0;0;0
21,5000;20640;15;2;0;62;0,7490;719;36;1;0;1;1;0;0
22,2500;21360;15;3;240;59;0,2490;239;12;0;0;0;0;0;0
22,5000;21600;16;1;0;59;0,2490;239;12;0;0;1;0;0;0
22,7500;21840;16;1;240;57;0,2490;239;12;0;0;0;0;0;0
23,0000;22080;16;2;0;59;0,7490;719;36;1;1;1;1;1;0
24,0000;23040;17;1;0;62;0,2490;239;12;0;0;0;0;0;0
24,2500;23280;17;1;240;62;0,4990;479;24;1;1;1;0;0;0
24,7500;23760;17;2;240;59;0,2490;239;12;0;0;0;0;0;0
25,0000;24000;17;3;0;59;0,1656;159;8;0;0;0;0;0;0
25,1667;24160;17;3;160;59;0,1656;159;8;0;0;0;0;0;0
25,3333;24320;17;3;320;57;0,1656;159;8;0;1;1;0;0;0
25,5000;24480;18;1;0;59;0,2490;239;12;0;0;0;0;0;0
25,7500;24720;18;1;240;59;0,7490;719;36;1;1;1;1;1;1
