Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;67;0,4990;479;8;0;0;0;0;0;0
0,5000;480;1;2;0;67;0,1865;179;3;0;1;1;1;0;0
0,6875;660;1;2;180;62;0,0615;59;1;0;0;0;0;0;0
0,7500;720;1;2;240;65;0,2490;239;4;0;0;0;0;0;0
1,0000;960;1;3;0;67;0,4990;479;8;1;1;1;0;0;0
1,5000;1440;2;1;0;70;0,1240;119;2;0;0;0;0;0;0
1,6250;1560;2;1;120;67;0,1240;119;2;0;0;0;0;0;0
1,7500;1680;2;1;240;70;0,1240;119;2;0;0;0;0;0;0
1,8750;1800;2;1;360;67;0,1240;119;2;0;0;0;0;0;0
2,0000;1920;2;2;0;70;0,7490;719;12;1;0;1;1;1;0
2,7500;2640;2;3;240;67;0,2490;239;4;0;0;0;0;0;0
3,0000;2880;3;1;0;70;0,6865;659;11;1;0;1;0;0;0
3,6875;3540;3;2;180;67;0,0615;59;1;0;0;0;0;0;0
3,7500;3600;3;2;240;70;0,2490;239;4;0;0;0;0;0;0
4,0000;3840;3;3;0;75;0,9990;959;16;1;1;1;1;1;1
5,0000;4800;4;2;0;70;0,4990;479;8;0;0;0;0;0;0
5,5000;5280;4;3;0;67;0,4990;479;8;0;0;0;0;0;0
6,0000;5760;5;1;0;67;0,7490;719;12;1;0;1;0;0;0
6,7500;6480;5;2;240;67;0,2490;239;4;0;0;0;0;0;0
7,0000;6720;5;3;0;70;0,1240;119;2;0;0;0;0;0;0
7,1250;6840;5;3;120;67;0,3740;359;6;0;0;0;0;0;0
7,5000;7200;6;1;0;67;0,9990;959;16;0;0;0;0;1;1
8,5000;8160;6;3;0;67;0,3740;359;6;1;1;1;1;0;0
8,8750;8520;6;3;360;70;0,1240;119;2;0;0;0;0;0;0
9,0000;8640;7;1;0;70;0,3740;359;6;1;1;1;0;0;0
9,3750;9000;7;1;360;67;0,1240;119;2;0;0;0;0;0;0
