Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;65;0,4990;479;24;1;0;1;0;0;0
0,5000;480;1;2;0;70;0,2490;239;12;0;0;0;0;0;0
0,7500;720;1;2;240;68;0,2490;239;12;0;0;0;0;0;0
1,0000;960;2;1;0;67;0,3740;359;18;1;1;1;1;0;0
1,3750;1320;2;1;360;70;0,1240;119;6;0;0;0;0;0;0
1,5000;1440;2;2;0;67;0,4990;479;24;1;0;1;0;0;0
2,0000;1920;3;1;0;65;0,3740;359;18;0;0;0;0;0;0
2,3750;2280;3;1;360;67;0,1240;119;6;0;0;0;0;0;0
2,5000;2400;3;2;0;65;0,3740;359;18;1;1;1;0;0;0
2,8750;2760;3;2;360;67;0,1240;119;6;0;0;0;0;0;0
3,0000;2880;4;1;0;63;1,4990;1439;72;0;0;1;1;1;0
4,5000;4320;5;2;0;58;0,4990;479;24;0;0;0;0;0;0
5,0000;4800;6;1;0;63;0,4990;479;24;0;0;0;0;0;0
5,5000;5280;6;2;0;63;0,4990;479;24;1;0;1;0;0;0
6,0000;5760;7;1;0;58;0,2490;239;12;0;0;0;0;0;0
6,2500;6000;7;1;240;65;0,2490;239;12;0;0;0;0;0;0
6,5000;6240;7;2;0;63;0,4990;479;24;1;0;1;0;0;0
7,0000;6720;8;1;0;58;0,4990;479;24;0;0;0;0;0;0
7,5000;7200;8;2;0;58;0,4990;479;24;0;0;0;0;0;0
8,0000;7680;9;1;0;58;1,4990;1439;72;1;1;1;1;1;0
9,5000;9120;10;2;0;70;0,1240;119;6;0;0;0;0;0;0
9,6250;9240;10;2;120;67;0,3740;359;18;0;0;0;0;0;0
10,0000;9600;11;1;0;67;0,4990;479;24;1;0;1;0;0;0
10,5000;10080;11;2;0;70;0,1240;119;6;0;0;0;0;0;0
10,6250;10200;11;2;120;67;0,3740;359;18;1;0;0;0;0;0
11,0000;10560;12;1;0;67;0,4990;479;24;0;0;1;0;0;0
11,5000;11040;12;2;0;65;0,4990;479;24;0;0;0;0;0;0
12,0000;11520;13;1;0;67;0,2490;239;12;1;0;0;0;0;0
12,2500;11760;13;1;240;70;0,1865;179;9;0;0;0;0;0;0
12,4375;11940;13;1;420;67;0,0615;59;3;1;1;0;0;0;0
12,5000;12000;13;2;0;70;0,2490;239;12;0;0;1;0;0;0
12,7500;12240;13;2;240;67;0,2490;239;12;0;0;0;0;1;0
13,0000;12480;14;1;0;70;0,2490;239;12;0;0;1;1;0;0
13,2500;12720;14;1;240;67;0,2490;239;12;0;0;0;0;0;0
13,5000;12960;14;2;0;67;0,2490;239;12;1;1;1;0;0;0
13,7500;13200;14;2;240;65;0,2490;239;12;0;0;0;0;0;0
14,0000;13440;15;1;0;70;0,2490;239;12;0;0;1;1;0;0
14,2500;13680;15;1;240;65;0,2490;239;12;0;0;0;0;0;0
14,5000;13920;15;2;0;65;0,2490;239;12;0;0;1;0;0;0
14,7500;14160;15;2;240;63;0,2490;239;12;0;0;0;0;0;0
15,0000;14400;16;1;0;65;0,1240;119;6;0;0;0;0;0;0
15,1250;14520;16;1;120;63;0,8740;839;42;1;0;1;0;1;0
16,0000;15360;17;1;0;58;0,4990;479;24;0;0;0;0;0;0
16,5000;15840;17;2;0;63;0,4990;479;24;0;0;0;0;0;0
17,0000;16320;18;1;0;63;0,9990;959;48;1;1;1;1;0;0
18,0000;17280;19;1;0;58;0,2490;239;12;0;0;0;0;0;0
18,2500;17520;19;1;240;65;0,2490;239;12;0;0;0;0;0;0
18,5000;17760;19;2;0;63;0,4990;479;24;1;0;1;0;0;0
19,0000;18240;20;1;0;58;0,4990;479;24;0;0;0;0;0;0
19,5000;18720;20;2;0;58;0,4990;479;24;0;0;0;0;0;0
20,0000;19200;21;1;0;58;0,9990;959;48;0;0;1;1;1;0
21,0000;20160;22;1;0;63;0,9990;959;48;1;1;0;0;0;0
22,0000;21120;23;1;0;70;0,4990;479;24;0;0;0;0;0;0
22,5000;21600;23;2;0;75;0,4990;479;24;0;0;0;0;0;0
23,0000;22080;24;1;0;70;0,4990;479;24;0;0;1;0;0;0
23,5000;22560;24;2;0;75;0,1240;119;6;0;0;0;0;0;0
23,6250;22680;24;2;120;70;0,3740;359;18;0;0;1;0;0;0
24,0000;23040;25;1;0;65;0,3740;359;18;1;0;0;0;0;0
24,3750;23400;25;1;360;67;0,1240;119;6;0;0;0;0;0;0
24,5000;23520;25;2;0;65;0,9990;959;48;1;0;1;1;1;0
25,5000;24480;26;2;0;63;0,4990;479;24;0;0;0;0;0;0
26,0000;24960;27;1;0;65;0,3740;359;18;1;1;1;0;0;0
26,3750;25320;27;1;360;70;0,1240;119;6;0;0;0;0;0;0
26,5000;25440;27;2;0;67;0,4990;479;24;0;0;1;0;0;0
27,0000;25920;28;1;0;65;0,3740;359;18;0;0;0;0;0;0
27,3750;26280;28;1;360;67;0,1240;119;6;0;0;0;0;0;0
27,5000;26400;28;2;0;65;0,9990;959;48;1;1;1;1;1;0
28,5000;27360;29;2;0;63;0,4990;479;24;0;0;0;0;0;0
