Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;0,9990;959;8;0;0;0;0;0;0
1,0000;960;2;1;0;64;1,2490;1199;10;1;0;1;1;0;0
2,2500;2160;3;1;240;62;0,2490;239;2;0;0;0;0;0;0
2,5000;2400;3;2;0;64;0,4990;479;4;1;1;1;0;0;0
3,0000;2880;4;1;0;62;0,2490;239;2;0;0;0;0;0;0
3,2500;3120;4;1;240;60;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;4;2;0;62;0,4990;479;4;0;0;0;0;0;0
4,0000;3840;5;1;0;60;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;5;2;0;69;1,2490;1199;10;0;0;1;1;1;0
5,7500;5520;6;2;240;64;0,2490;239;2;0;0;0;0;0;0
6,0000;5760;7;1;0;69;0,4990;479;4;0;0;0;0;0;0
6,5000;6240;7;2;0;64;0,7490;719;6;1;1;1;0;0;0
7,2500;6960;8;1;240;62;0,2490;239;2;0;0;0;0;0;0
7,5000;7200;8;2;0;64;0,9990;959;8;1;0;1;0;0;0
8,5000;8160;9;2;0;62;0,2490;239;2;0;0;0;0;0;0
8,7500;8400;9;2;240;60;0,2490;239;2;0;0;0;0;0;0
9,0000;8640;10;1;0;62;0,4990;479;4;0;0;0;0;0;0
9,5000;9120;10;2;0;60;0,9990;959;8;1;1;0;0;0;0
10,5000;10080;11;2;0;60;0,4990;479;4;0;0;1;1;0;0
11,0000;10560;12;1;0;64;0,9990;959;8;1;1;0;0;1;0
12,0000;11520;13;1;0;64;0,3740;359;3;0;0;0;0;0;0
12,3750;11880;13;1;360;62;0,1240;119;1;0;0;0;0;0;0
12,5000;12000;13;2;0;64;0,7490;719;6;1;0;1;0;0;0
13,2500;12720;14;1;240;62;0,1240;119;1;0;0;0;0;0;0
13,3750;12840;14;1;360;60;0,1240;119;1;0;0;0;0;0;0
13,5000;12960;14;2;0;62;0,3740;359;3;1;1;1;0;0;0
13,8750;13320;14;2;360;60;0,1240;119;1;0;0;0;0;0;0
14,0000;13440;15;1;0;62;0,4990;479;4;0;0;1;1;0;0
14,5000;13920;15;2;0;60;0,4990;479;4;0;0;0;0;0;0
15,0000;14400;16;1;0;60;0,9990;959;8;0;0;1;0;0;0
16,0000;15360;17;1;0;60;0,9990;959;8;1;1;1;1;1;1
