Signature: 3/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;77;2,2490;2159;216;1;0;1;1;0;0
2,2500;2160;2;2;240;74;0,0823;79;8;0;0;0;0;0;0
2,3333;2240;2;2;320;72;0,0823;79;8;0;0;0;0;0;0
2,4167;2320;2;2;400;70;0,0823;79;8;0;0;0;0;0;0
2,5000;2400;2;3;0;65;0,1240;119;12;1;1;1;0;0;0
2,7500;2640;2;3;240;70;0,1240;119;12;0;0;0;0;0;0
2,8750;2760;2;3;360;72;0,1240;119;12;0;0;0;0;0;0
3,0000;2880;3;1;0;74;0,8740;839;84;1;0;1;1;1;1
3,8750;3720;3;2;360;72;0,1240;119;12;0;0;0;0;0;0
4,0000;3840;3;3;0;70;0,1240;119;12;1;1;1;0;0;0
4,2500;4080;3;3;240;67;0,0823;79;8;0;0;0;0;0;0
4,3333;4160;3;3;320;69;0,0823;79;8;0;0;0;0;0;0
4,4167;4240;3;3;400;67;0,0823;79;8;0;0;0;0;0;0
4,5000;4320;4;1;0;65;0,1240;119;12;1;0;1;0;0;0
4,7500;4560;4;1;240;70;0,2490;239;24;0;0;0;0;0;0
5,0000;4800;4;2;0;74;0,2490;239;24;0;0;0;0;0;0
5,2500;5040;4;2;240;72;1,2490;1199;120;1;0;1;1;1;1
6,5000;6240;5;2;0;70;0,1240;119;12;0;0;0;0;0;0
6,6250;6360;5;2;120;72;0,1240;119;12;1;0;0;0;0;0
6,7500;6480;5;2;240;74;0,0990;95;10;0;0;0;0;0;0
6,8500;6576;5;2;336;72;0,0990;95;10;0;0;0;0;0;0
6,9500;6672;5;2;432;70;0,0990;95;10;1;0;1;0;0;0
7,0500;6768;5;3;48;67;0,0990;95;10;0;0;0;0;0;0
7,1500;6864;5;3;144;65;0,0990;95;10;0;0;0;0;0;0
7,2500;6960;5;3;240;67;0,2490;239;24;0;0;0;0;0;0
7,7500;7440;6;1;240;70;0,9990;959;96;1;1;1;1;1;1
9,6250;9240;7;2;120;77;0,1240;119;12;0;0;0;0;0;0
9,7500;9360;7;2;240;74;0,1865;179;18;0;0;0;0;0;0
9,9375;9540;7;2;420;72;0,0615;59;6;0;0;0;0;0;0
10,0000;9600;7;3;0;70;0,1240;119;12;1;1;1;0;0;0
10,2500;9840;7;3;240;74;0,1865;179;18;0;0;0;0;0;0
10,4375;10020;7;3;420;72;0,0615;59;6;0;0;0;0;0;0
10,5000;10080;8;1;0;70;0,1240;119;12;1;1;1;1;0;0
10,7500;10320;8;1;240;74;0,1865;179;18;0;0;0;0;0;0
10,9375;10500;8;1;420;72;0,0615;59;6;0;0;0;0;0;0
11,0000;10560;8;2;0;70;0,1240;119;12;1;1;1;0;1;0
11,2500;10800;8;2;240;67;0,0927;89;9;0;0;0;0;0;0
11,3438;10890;8;2;330;69;0,0302;29;3;0;0;0;0;0;0
11,3750;10920;8;2;360;67;0,0615;59;6;1;0;0;0;0;0
11,5000;11040;8;3;0;65;0,2490;239;24;0;0;1;0;0;0
11,7500;11280;8;3;240;70;0,2490;239;24;0;0;0;0;0;0
12,0000;11520;9;1;0;67;0,0927;89;9;0;0;0;0;0;0
12,0938;11610;9;1;90;69;0,0302;29;3;0;0;0;0;0;0
12,1250;11640;9;1;120;67;0,0615;59;6;1;1;0;0;0;0
12,2500;11760;9;1;240;65;0,2490;239;24;0;0;0;0;0;0
12,5000;12000;9;2;0;70;0,1240;119;12;1;1;1;0;0;0
12,7500;12240;9;2;240;74;0,7490;719;72;0;0;0;0;0;1
13,5000;12960;10;1;0;72;0,4990;479;48;1;0;1;1;1;1
14,2500;13680;10;2;240;70;0,1240;119;12;0;0;0;0;0;0
14,3750;13800;10;2;360;72;0,1240;119;12;0;0;0;0;0;0
14,5000;13920;10;3;0;74;0,1240;119;12;0;0;0;0;0;0
14,6250;14040;10;3;120;72;0,1240;119;12;0;0;0;0;0;0
14,7500;14160;10;3;240;70;0,0823;79;8;0;0;1;0;0;0
14,8333;14240;10;3;320;67;0,0823;79;8;0;0;0;0;0;0
14,9167;14320;10;3;400;65;0,0823;79;8;0;0;0;0;0;0
15,0000;14400;11;1;0;67;0,2490;239;24;0;1;1;1;0;0
15,5000;14880;11;2;0;70;0,2490;239;24;0;1;0;0;1;0
16,0000;15360;11;3;0;70;0,2490;239;24;0;0;0;0;0;0
16,2500;15600;11;3;240;72;0,2490;239;24;0;0;0;0;0;0
16,5000;15840;12;1;0;74;0,1240;119;12;0;0;0;0;0;0
16,6250;15960;12;1;120;72;0,1240;119;12;0;0;0;0;0;0
16,7500;16080;12;1;240;70;0,0823;79;8;1;1;1;0;0;0
16,8333;16160;12;1;320;67;0,0823;79;8;0;0;0;0;0;0
16,9167;16240;12;1;400;65;0,0823;79;8;0;0;0;0;0;0
17,0000;16320;12;2;0;67;0,2490;239;24;0;0;1;1;1;0
17,5000;16800;12;3;0;70;0,2490;239;24;0;1;0;0;0;0
18,0000;17280;13;1;0;70;0,2490;239;24;0;0;0;0;0;0
18,2500;17520;13;1;240;72;0,2490;239;24;0;0;0;0;0;0
18,5000;17760;13;2;0;74;0,1240;119;12;0;0;0;0;0;0
18,6250;17880;13;2;120;72;0,1240;119;12;0;0;0;0;0;0
