Signature: 2/4, Ticks per Beat: 480
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley;simple
0,0000;0;1;1;0;69;0,4990;479;4;0;0;0;0;0;0
0,5000;480;1;2;0;69;0,4990;479;4;0;0;0;0;0;0
1,0000;960;2;1;0;69;0,1240;119;1;0;0;0;0;0;0
1,1250;1080;2;1;120;67;0,3740;359;3;1;0;1;0;0;0
1,5000;1440;2;2;0;65;0,4990;479;4;0;0;0;0;0;0
2,0000;1920;3;1;0;65;0,4990;479;4;0;0;1;1;0;0
2,5000;2400;3;2;0;69;0,7490;719;6;1;1;0;0;0;0
3,2500;3120;4;1;240;69;0,2490;239;2;0;0;0;0;0;0
3,5000;3360;4;2;0;69;0,4990;479;4;1;0;1;0;1;0
4,0000;3840;5;1;0;72;0,4990;479;4;0;0;0;0;0;0
4,5000;4320;5;2;0;72;0,4990;479;4;1;1;1;0;0;0
5,0000;4800;6;1;0;74;0,1240;119;1;0;0;0;0;0;0
5,1250;4920;6;1;120;72;0,3740;359;3;0;0;0;0;0;0
5,5000;5280;6;2;0;70;0,4990;479;4;0;0;1;0;0;0
6,0000;5760;7;1;0;72;0,1240;119;1;0;0;0;0;0;0
6,1250;5880;7;1;120;70;0,3740;359;3;1;1;0;0;0;0
6,5000;6240;7;2;0;69;1,2490;1199;10;0;0;1;0;0;0
7,7500;7440;8;2;240;67;0,2490;239;2;0;0;0;0;0;0
8,0000;7680;9;1;0;65;1,4990;1439;12;1;1;1;1;1;0
10,0000;9600;11;1;0;65;0,4990;479;4;0;0;0;0;0;0
10,5000;10080;11;2;0;65;0,4990;479;4;0;0;0;0;0;0
11,0000;10560;12;1;0;65;0,4990;479;4;1;0;1;0;0;0
11,5000;11040;12;2;0;67;0,4990;479;4;0;0;0;0;0;0
12,0000;11520;13;1;0;67;0,4990;479;4;1;0;1;0;0;0
12,5000;12000;13;2;0;69;0,1240;119;1;0;0;0;0;0;0
12,6250;12120;13;2;120;67;0,3740;359;3;1;0;1;0;0;0
13,0000;12480;14;1;0;65;0,4990;479;4;0;0;0;0;0;0
13,5000;12960;14;2;0;65;0,9990;959;8;1;1;1;0;1;0
14,5000;13920;15;2;0;64;0,4990;479;4;0;0;0;0;0;0
15,0000;14400;16;1;0;65;0,9990;959;8;1;1;1;1;0;0
16,0000;15360;17;1;0;67;0,2490;239;2;0;0;0;0;0;0
16,2500;15600;17;1;240;65;0,2490;239;2;0;0;0;0;0;0
16,5000;15840;17;2;0;65;0,4990;479;4;1;0;0;0;0;0
17,0000;16320;18;1;0;65;1,4990;1439;12;0;0;1;0;0;0
18,5000;17760;19;2;0;65;0,9990;959;8;1;1;1;1;1;1
