Author	Title	Institution	Completed
Adams, Kyle	A New Theory of Chromaticism from the Late Sixteenth to the Early Eighteenth Century	CUNY Graduate Center	September 2006
Adlington, Robert C.	Temporality in post-tonal music	University of Sussex	September 1996
Alegant, Brian	The Seventy-Seven Partitions of the Aggregate: Analytical and Theoretical Implications	Eastman School of Music	October 1992
Amato, Alexander G.	Thematic and Formal Narrative in Respighi’s Sinfonia Drammatica	University of North Texas	November 2013
Amos, Laura Christine	An Examination of 1920s Parisian Polytonality: Milhaud's Ballet La Creation du monde	The University of Texas at Austin	May 2007
Andrew Aziz	In Name Only: The Interaction of Title and Genre in the Sonata Forms of Debussy and Ravel	Eastman School of Music, University of Rochester	April 2013
Anson-Cartwright, Mark	The Development Section in Haydn's Late Instrumental Works	City University of New York	August 1998
Antonio Jardim	Music: vigency of poetical thinking	UFRJ Doctor in Poetics	December 1997
Argentino, Joe R	Transformations and Hexatonic Tonnetz Spaces in Late Works of Schoenberg	The University of Western Ontario	February 2010
Ariyan, Ashot	Bilgamesh, un ballet-opéra en deux actes Symbiose d’un genre oublié, une mythologie archaïque et une langue morte	University of Montreal	December 2012
Arndt, Matthew	 Schenker and Schoenberg on the Tone and the Genius	University of Wisconsin—Madison	August 2008	
Arthurs, Daniel J. Reconstructing Tonal Principles in the Music of Brad Mehldau	Indiana University, Bloomington	May 2011	
Atkinson, Sean E	An Analytical Model for the Study of Multimedia Compositions: A Case Study in Minimalist Music	Florida State University	April 2009	
Attar, Ron	Analysis of Bela Bartok's Performances to Selected Compositions	Bar-Ilan University, Israel	June 2007	
Attas, Robin E.S.	Meter as Process in Groove-Based Popular Music	The University of British Columbia	April 2011	
Auerbach, Brent, L	The Analytical Grundgestalt: A New Model and Methodology Based on the Music of Johannes Brahms	University of Rochester - Eastman School of Music	May 2005	
Auerbach, Jennifer Sadoff	Drafts, Page Proofs, and Revisions of Heinrich Schenker’s Der freie Satz: the Collection at the Austrian National Library and Schenker’s Generative Process	University of North Texas	May 2009	
Austin, Michael 	The Phenomenological Impact of Interface on the Analysis of Digital Music and Sonic Art	University of Texas at Dallas	June 2011	
Ayotte, Benjamin McKay	Incomplete Ursatzformen Transferences in the Vocal Music of Heinrich Schenker	Michigan State University	May 2008	
BaileyShea, Matthew L.	The Wagnerian Satz: The Rhetoric of the Sentence in Wagner's Post-Lohengrin Operas	Yale University	May 2003	
Bakker, Sara	Playing with Patterns: Isorhythmic Strategies in György Ligeti\'s Late Piano Works	Indiana University	April 2013	
Ballard, Jack D., Jr.	Part One: The Castle (Ballet for Large Orchestra) and Part Two: Hyperextended Chord Tones: Chromatic Consonance in a Tertian Context	Kent State University	December 2008	
Balter, Tamara	A Theory of Irony in Music: Types of Irony in the String Quartets of Haydn and Beethoven.	Indiana University, Bloomington (Music Theory)	November 2009
Barker, Naomi Joy	Analytical Issues in the Toccatas of Girolamo Frescobaldi	University of London	July 1995
Barley, Raymond B., Jr.	Tonality and Modality in Finnish Folk Music	Union Institute & University	April 2011
Bauer, Amy, M	Compositional Process and Parody in the Music of Gyorgy Ligeti	Yale University	August 1996
Beaudoin, Paul E	Rhetoric as a Heuristic in the First Movement of Beethoven's Third Sonata for Violoncello and Piano, op. 69	Brandeis University	February 2002
Behrens, Lisa, S.	Cyclic Pitch Organization in the Twelve-Tone Works of Aaron Copland	The Graduate Center, CUNY	October 2012
Belcher, Owen H	Analytical Studies of Selected Cantatas by J.S. Bach	Eastman School of Music	April 2018
Bell, Vicki P.	Shaker Music Theory: The Nineteenth-Century Treatises of Isaac Newton Youngs and Russel Haskell	University of Kentucky	May 1998
Benoit, John R.	An Alternative Model of Fundamental Structure in Selected Lieder by Franz Schubert	The University of Texas at Austin	August 1994
