"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses","stimulus","button_pressed","response"
"[{""page_index"":0,""viewing_time"":1639.409999945201},{""page_index"":1,""viewing_time"":17107.495000003837},{""page_index"":2,""viewing_time"":2972.26499998942}]","21719.70500005409","instructions","0","21730","0.0-0.0","26440","","","",""
"","3462.000000057742","survey-text","1","25193","0.0-1.0","26440","{""Q0"":""43""}","","",""
"","11010.825000004843","survey-text","2","36205","0.0-2.0","26440","{""Q0"":""Completed Doctorate""}","","",""
"","17799.050000030547","survey-text","3","54005","0.0-3.0","26440","{""Q0"":""8""}","","",""
"","28959.30500002578","survey-text","4","82963","0.0-4.0","26440","{""Q0"":""depends on the university I teach at. I've used all the systems you've mentioned""}","","",""
"","15700.964999967255","survey-text","5","98665","0.0-5.0","26440","{""Q0"":""Trombone""}","","",""
"","8372.989999945275","survey-text","6","107039","0.0-6.0","26440","{""Q0"":""PhD Music Theory""}","","",""
"","26431.375000043772","survey-text","7","133458","0.0-7.0","26440","{""Q0"":""Mahidol University College of Music (Thailand)""}","","",""
"[{""page_index"":0,""viewing_time"":3478.8900000276044},{""page_index"":1,""viewing_time"":21904.05000001192},{""page_index"":2,""viewing_time"":1616.2250000052154},{""page_index"":3,""viewing_time"":2213.664999930188}]","29213.220000034198","instructions","8","162672","0.0-8.0","26440","","","",""
"","31530.810000025667","image-button-response","9","194203","0.0-9.0-0.0","26440","","img/Berkowitz156.png","1",""
"","13468.28499995172","image-button-response","10","207673","0.0-9.0-1.0","26440","","img/Berkowitz156.png","3",""
"","6480.2050000289455","image-slider-response","11","214155","0.0-9.0-2.0","26440","","","","64"
"","9222.399999969639","image-slider-response","12","223378","0.0-9.0-3.0","26440","","","","44"
"","10421.099999919534","image-button-response","13","233801","0.0-9.0-4.0","26440","","img/Berkowitz156.png","1",""
"","13904.759999946691","image-button-response","14","247707","0.0-9.0-0.1","26440","","img/Berkowitz417tx.png","1",""
"","3760.7699999352917","image-button-response","15","251469","0.0-9.0-1.1","26440","","img/Berkowitz417tx.png","5",""
"","4802.594999899156","image-slider-response","16","256280","0.0-9.0-2.1","26440","","","","40"
"","4020.6350000808015","image-slider-response","17","260302","0.0-9.0-3.1","26440","","","","72"
"","3669.4249999709427","image-button-response","18","263972","0.0-9.0-4.1","26440","","img/Berkowitz417tx.png","1",""
"","14082.679999992251","image-button-response","19","278056","0.0-9.0-0.2","26440","","img/Berkowitz382t.png","1",""
"","3033.185000065714","image-button-response","20","281090","0.0-9.0-1.2","26440","","img/Berkowitz382t.png","3",""
"","3576.314999954775","image-slider-response","21","284668","0.0-9.0-2.2","26440","","","","50"
"","10526.509999996051","image-slider-response","22","295196","0.0-9.0-3.2","26440","","","","36"
"","1484.4799999846146","image-button-response","23","296682","0.0-9.0-4.2","26440","","img/Berkowitz382t.png","1",""
"","16021.264999988489","image-button-response","24","312704","0.0-9.0-0.3","26440","","img/Berkowitz334t.png","2",""
"","3132.519999984652","image-button-response","25","315833","0.0-9.0-1.3","26440","","img/Berkowitz334t.png","3",""
"","7246.67500006035","image-slider-response","26","323081","0.0-9.0-2.3","26440","","","","50"
"","4418.549999943934","image-slider-response","27","327501","0.0-9.0-3.3","26440","","","","64"
"","1561.4549999590963","image-button-response","28","329065","0.0-9.0-4.3","26440","","img/Berkowitz334t.png","1",""
"","5393.039999995381","image-button-response","29","334460","0.0-9.0-0.4","26440","","img/Berkowitz622.png","3",""
"","3346.3400000473484","image-button-response","30","337807","0.0-9.0-1.4","26440","","img/Berkowitz622.png","4",""
"","5760.66000002902","image-slider-response","31","343569","0.0-9.0-2.4","26440","","","","70"
"","2956.7449999740347","image-slider-response","32","346527","0.0-9.0-3.4","26440","","","","50"
"","1592.8299999795854","image-button-response","33","348121","0.0-9.0-4.4","26440","","img/Berkowitz622.png","1",""
"","9837.27000001818","image-button-response","34","357960","0.0-9.0-0.5","26440","","img/Berkowitz312.png","2",""
"","3092.7649999503046","image-button-response","35","361054","0.0-9.0-1.5","26440","","img/Berkowitz312.png","5",""
"","3194.465000065975","image-slider-response","36","364249","0.0-9.0-2.5","26440","","","","50"
"","4756.869999924675","image-slider-response","37","369007","0.0-9.0-3.5","26440","","","","38"
"","2502.8800000436604","image-button-response","38","371511","0.0-9.0-4.5","26440","","img/Berkowitz312.png","1",""
"","18979.65499991551","image-button-response","39","390491","0.0-9.0-0.6","26440","","img/Berkowitz379.png","2",""
"","1922.1299999626353","image-button-response","40","392415","0.0-9.0-1.6","26440","","img/Berkowitz379.png","3",""
"","4854.455000022426","image-slider-response","41","397270","0.0-9.0-2.6","26440","","","","50"
"","3807.139999931678","image-slider-response","42","401078","0.0-9.0-3.6","26440","","","","66"
"","1387.294999905862","image-button-response","43","402467","0.0-9.0-4.6","26440","","img/Berkowitz379.png","1",""
"","11490.690000005998","image-button-response","44","413958","0.0-9.0-0.7","26440","","img/Berkowitz629.png","3",""
"","2328.6700000753626","image-button-response","45","416289","0.0-9.0-1.7","26440","","img/Berkowitz629.png","5",""
"","4450.874999980442","image-slider-response","46","420742","0.0-9.0-2.7","26440","","","","65"
"","3551.035000011325","image-slider-response","47","424294","0.0-9.0-3.7","26440","","","","33"
"","2542.9299999959767","image-button-response","48","426838","0.0-9.0-4.7","26440","","img/Berkowitz629.png","1",""
"","8732.929999940097","image-button-response","49","435574","0.0-9.0-0.8","26440","","img/Berkowitz75.png","0",""
"","3384.7250000108033","image-button-response","50","438960","0.0-9.0-1.8","26440","","img/Berkowitz75.png","2",""
"","4088.705000001937","image-slider-response","51","443050","0.0-9.0-2.8","26440","","","","29"
